platform_name,country_of_origin,manufacturer,commons_search_url,file,source_url,source_page_url,photographer,license_name,license_url
DJI AIR 3S,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20AIR%203S%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Air 2S,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Air%202S%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Air 3,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Air%203%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Avata 2,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Avata%202%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Inspire 3,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Inspire%203%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3 Classic,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203%20Classic%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Matrice 400,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Matrice%20400%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Matrice 4E,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Matrice%204E%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Matrice 4T,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Matrice%204T%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Mavic 3 Pro,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Mavic%203%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Mavic 3 Pro Cine,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Mavic%203%20Pro%20Cine%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Mavic 4 Pro,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Mavic%204%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Mini 2 SE,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Mini%202%20SE%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Mini 3,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Mini%203%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Mini 5 Pro,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Mini%205%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Neo,China,DJI,https://commons.wikimedia.org/w/index.php?search=DJI%20Neo%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 210,China,DJI,https://commons.wikimedia.org/w/index.php?search=Matrice%20210%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 350 RTK,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=Matrice%20350%20RTK%20UAV&title=Special:MediaSearch&type=image,,,,,,
Typhoon H,China,Yuneec,https://commons.wikimedia.org/w/index.php?search=Typhoon%20H%20UAV&title=Special:MediaSearch&type=image,,,,,,
AR Drone,France,Parrot,https://commons.wikimedia.org/w/index.php?search=AR%20Drone%20UAV&title=Special:MediaSearch&type=image,,,,,,
Karma,United States,GoPro,https://commons.wikimedia.org/w/index.php?search=Karma%20UAV&title=Special:MediaSearch&type=image,,,,,,
AVSS PRS-M350EX,Canada,AVSS - Aerial Vehicle Safety Solutions Inc.,https://commons.wikimedia.org/w/index.php?search=AVSS%20PRS-M350EX%20UAV&title=Special:MediaSearch&type=image,,,,,,
AVSS PRS-M3DTEX,Canada,AVSS - Aerial Vehicle Safety Solutions Inc.,https://commons.wikimedia.org/w/index.php?search=AVSS%20PRS-M3DTEX%20UAV&title=Special:MediaSearch&type=image,,,,,,
PRS-M4EX,Canada,AVSS - Aerial Vehicle Safety Solutions Inc.,https://commons.wikimedia.org/w/index.php?search=PRS-M4EX%20UAV&title=Special:MediaSearch&type=image,,,,,,
ASN-209,China,Xi’an ASN Technology Group,https://commons.wikimedia.org/w/index.php?search=ASN-209%20UAV&title=Special:MediaSearch&type=image,,,,,,
ATOM,China,"Shenzhen Potensic Intelligent Co., Ltd",https://commons.wikimedia.org/w/index.php?search=ATOM%20UAV&title=Special:MediaSearch&type=image,,,,,,
ATOM 2,China,"Shenzhen Potensic Intelligent Co., Ltd",https://commons.wikimedia.org/w/index.php?search=ATOM%202%20UAV&title=Special:MediaSearch&type=image,,,,,,
ATOM 3,China,"Shenzhen Potensic Intelligent Co., Ltd",https://commons.wikimedia.org/w/index.php?search=ATOM%203%20UAV&title=Special:MediaSearch&type=image,,,,,,
ATOM LT,China,"Shenzhen Potensic Intelligent Co., Ltd",https://commons.wikimedia.org/w/index.php?search=ATOM%20LT%20UAV&title=Special:MediaSearch&type=image,,,,,,
ATOM SE,China,"Shenzhen Potensic Intelligent Co., Ltd",https://commons.wikimedia.org/w/index.php?search=ATOM%20SE%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Matrice 400,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%20400%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Matrice 4D,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204D%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Matrice 4E,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204E%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Matrice 4T,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204T%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Matrice 4TD,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204TD%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3 Cine,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Cine%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3 Classic,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Classic%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3 Pro,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3 Pro Cine,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Pro%20Cine%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3E,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203E%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3M,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203M%20UAV&title=Special:MediaSearch&type=image,,,,,,
C5 Eurosafe Mavic 3T,China,"EUROSAFE SYSTEMS, S.L.",https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203T%20UAV&title=Special:MediaSearch&type=image,,,,,,
CH-4,China,CASC,https://commons.wikimedia.org/w/index.php?search=CH-4%20UAV&title=Special:MediaSearch&type=image,,,,,,
CH-5,China,CASC,https://commons.wikimedia.org/w/index.php?search=CH-5%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Avata 360,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Avata%20360%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Dock 3 and Matrice 4D Series,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Dock%203%20and%20Matrice%204D%20Series%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Flip,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Flip%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Lito 1,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Lito%201%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Lito X1,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Lito%20X1%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3 Cine V2.0,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203%20Cine%20V2.0%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3 V2.0,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203%20V2.0%20UAV&title=Special:MediaSearch&type=image,,,,,,
