Date,Country,Exchange rate
1973-01-02,India,8.02
1973-01-03,India,8.02
1973-01-04,India,8.0
1973-01-05,India,8.01
1973-01-08,India,8.0
1973-01-09,India,8.0
1973-01-10,India,8.0
1973-01-11,India,8.0
1973-01-12,India,8.0
1973-01-15,India,8.0
1973-01-16,India,8.01
1973-01-17,India,8.01
1973-01-18,India,8.01
1973-01-19,India,8.0
1973-01-22,India,8.0
1973-01-23,India,8.0
1973-01-24,India,8.0
1973-01-25,India,8.0
1973-01-26,India,8.0
1973-01-29,India,8.01
1973-01-30,India,8.0
1973-01-31,India,8.0
1973-02-01,India,8.0
1973-02-02,India,8.0
1973-02-05,India,7.97
1973-02-06,India,8.0
1973-02-07,India,8.0
1973-02-08,India,8.01
1973-02-09,India,8.01
1973-02-12,India,
1973-02-13,India,
1973-02-14,India,
1973-02-15,India,7.58
1973-02-16,India,7.58
1973-02-19,India,
1973-02-20,India,7.58
1973-02-21,India,7.58
1973-02-22,India,7.58
1973-02-23,India,7.58
1973-02-26,India,7.55
1973-02-27,India,7.52
1973-02-28,India,7.52
1973-03-01,India,7.55
1973-03-02,India,
1973-03-05,India,
1973-03-06,India,7.35
1973-03-07,India,7.19
1973-03-08,India,7.25
1973-03-09,India,7.55
1973-03-12,India,7.52
1973-03-13,India,7.52
1973-03-14,India,7.94
1973-03-15,India,7.52
1973-03-16,India,7.81
1973-03-19,India,7.6
1973-03-20,India,7.58
1973-03-21,India,7.58
1973-03-22,India,7.58
1973-03-23,India,7.58
1973-03-26,India,7.58
1973-03-27,India,7.55
1973-03-28,India,7.55
1973-03-29,India,7.58
1973-03-30,India,7.55
1973-04-02,India,7.58
1973-04-03,India,7.55
1973-04-04,India,7.55
1973-04-05,India,7.55
1973-04-06,India,7.55
1973-04-09,India,7.55
1973-04-10,India,7.55
1973-04-11,India,7.52
1973-04-12,India,7.5
1973-04-13,India,7.52
1973-04-16,India,7.52
1973-04-17,India,7.55
1973-04-18,India,7.55
1973-04-19,India,7.55
1973-04-20,India,7.55
1973-04-23,India,7.55
1973-04-24,India,7.56
1973-04-25,India,7.55
1973-04-26,India,7.56
1973-04-27,India,7.58
1973-04-30,India,7.53
1973-05-01,India,7.54
1973-05-02,India,7.52
1973-05-03,India,7.55
1973-05-04,India,7.55
1973-05-07,India,7.55
1973-05-08,India,7.55
1973-05-09,India,7.52
1973-05-10,India,7.52
1973-05-11,India,7.52
1973-05-14,India,7.46
