admin_id,country,admin1,lat,lon,events,fatalities,weeks_active,is_maritime
285,Bahrain,Capital,26.1927,50.5508,6914,9,513,False
286,Bahrain,Muharraq,26.2547,50.6428,533,4,246,False
287,Bahrain,Northern,26.1468,50.4809,6265,9,510,False
288,Bahrain,Southern,25.9954,50.5421,796,4,308,False
1329,Iran,Alborz,35.9457,50.906,909,1984,281,False
1330,Iran,Ardabil,38.4066,47.9857,491,497,248,False
1331,Iran,Bushehr,28.7846,51.5038,1162,28,346,False
1332,Iran,Chaharmahal and Bakhtiari,31.979,50.8101,520,34,257,False
1333,Iran,East Azerbaijan,38.0858,46.6924,1330,803,402,False
1334,Iran,Fars,29.3576,53.3176,1505,2199,387,False
1335,Iran,Gilan,37.5092,49.0189,1307,1085,424,False
1336,Iran,Golestan,37.2982,54.8804,395,417,197,False
1337,Iran,Hamadan,34.8698,48.559,621,370,255,False
1338,Iran,Hormozgan,27.1422,55.0325,1252,301,352,False
1339,Iran,Ilam,33.0433,46.8724,749,105,314,False
1340,Iran,Isfahan,32.6094,52.0477,2332,2229,470,False
1341,Iran,Kerman,29.2326,57.3392,1001,546,359,False
1342,Iran,Kermanshah,34.4871,46.8086,1442,1070,415,False
1343,Iran,Khuzestan,31.4636,48.9916,5203,1838,533,False
1344,Iran,Kohgiluyeh and Boyer-Ahmad,30.7032,51.0949,791,24,351,False
1345,Iran,Kurdistan,35.6014,47.0057,1600,405,417,False
1346,Iran,Lorestan,33.5164,48.3219,1106,151,353,False
1347,Iran,Markazi,34.4772,49.5818,927,921,330,False
1348,Iran,Mazandaran,36.3633,52.3677,1170,408,331,False
1349,Iran,North Khorasan,37.4249,57.178,342,72,174,False
1350,Iran,Qazvin,36.1089,50.0386,811,26,340,False
1351,Iran,Qom,34.6674,51.002,390,1935,192,False
1352,Iran,Razavi Khorasan,35.7792,59.0295,1513,1891,424,False
1353,Iran,Semnan,35.7868,54.9676,528,17,214,False
1354,Iran,Sistan and Baluchestan,28.2728,60.8613,1680,1710,419,False
1355,Iran,South Khorasan,32.8019,58.24,236,7,127,False
1356,Iran,Tehran,35.5022,51.3269,8020,11118,541,False
1357,Iran,West Azerbaijan,37.8742,44.7003,1275,852,400,False
1358,Iran,Yazd,31.4825,54.4162,685,348,315,False
1359,Iran,Zanjan,36.4014,48.422,505,248,264,False
1360,Iraq,Al Anbar,33.1774,41.3987,6694,26224,541,False
1361,Iraq,Al Basrah,30.2047,47.5084,3401,501,467,False
1362,Iraq,Al Muthanna,30.4107,45.3606,1519,168,387,False
1363,Iraq,Al Najaf,31.0697,43.38,538,148,276,False
1364,Iraq,Al Qadissiya,31.8451,45.1666,938,201,302,False
1365,Iraq,Al Sulaymaniyah,35.5263,45.379,1820,480,399,False
1366,Iraq,Babil,32.5765,44.6371,822,509,388,False
1367,Iraq,Baghdad,33.278,44.3783,6573,6742,546,False
1368,Iraq,Diyala,34.0711,44.8903,3966,3801,537,False
1369,Iraq,Duhok,37.0446,43.1386,16041,2792,517,False
