chokepoint_id,chokepoint,theatre,critical,area_km2,corridor_detections,solas_detections,solas_dark_rate,standardised_dark_rate,density_per_100k_km2
open_ocean,Open ocean / other,Other,False,,71260,25685,0.10181039517227954,0.35549269332436134,
south_china_sea,South China Sea,East Asia,True,3424567.8429441396,6006,1379,0.14213197969543148,0.4170144407698809,175.3797931722846
persian_gulf,Persian Gulf,Persian Gulf,True,718831.3056123493,3613,1376,0.42441860465116277,0.5219596506918235,502.62140390813965
black_sea,Black Sea,Black Sea,True,855123.0788437406,2628,1465,0.4812286689419795,0.6252413750651706,307.32418116389334
bay_of_bengal,Bay of Bengal,Indian Ocean,False,2495858.8449815763,2595,636,0.17452830188679244,0.608400390854674,103.97222604226063
india_west_coast,India West Coast corridor,Indian Ocean,True,1995165.344429149,2442,407,0.07862407862407862,0.4474621223472055,122.39587093964374
eastern_med,Eastern Mediterranean,Mediterranean,True,731363.5034830441,2286,1290,0.07751937984496124,0.38111378438333965,312.56686847417984
hormuz,Strait of Hormuz,Persian Gulf,True,98507.63172144249,1965,1304,0.838957055214724,0.8540041674495169,1994.7693043281963
gulf_of_guinea,Gulf of Guinea,West Africa,False,2035589.3815755683,1747,510,0.056862745098039215,0.17114685329677523,85.82280963991879
dover,Dover Strait / English Channel,North Europe,False,83290.89433562526,1630,795,0.0440251572327044,0.1992205204633597,1956.9966357088506
malacca,Strait of Malacca,South East Asia,True,443792.43382173305,1254,574,0.10627177700348432,0.4058540203177365,282.56452891752525
taiwan_strait,Taiwan Strait,East Asia,True,203790.31608452505,1146,577,0.15251299826689774,0.27994813215323266,562.3427167779059
bosphorus,Turkish Straits (Bosphorus-Dardanelles),Black Sea,True,74237.72137450667,1061,610,0.021311475409836064,0.256864634651613,1429.1925726647487
cape_of_good_hope,Cape of Good Hope corridor,Indian Ocean,True,1810018.8611011775,776,560,0.05,0.29432688570924764,42.87248142419344
suez_canal,Suez Canal & Gulf of Suez,Red Sea / Mediterranean,True,120343.3244005038,756,424,0.02830188679245283,0.4377285405490334,628.2026890698353
singapore_strait,Singapore Strait,South East Asia,True,15822.763197233655,506,331,0.02416918429003021,0.1965979441775143,3197.924368156288
gulf_of_oman,Gulf of Oman,Persian Gulf,True,248513.29008491704,472,314,0.4585987261146497,0.6167785512890985,189.9294801653133
gibraltar,Strait of Gibraltar,Mediterranean,True,18027.914198728082,415,273,0.06227106227106227,0.2775268688095815,2301.985661931314
sunda,Sunda Strait,South East Asia,False,48665.119718955735,412,199,0.11055276381909548,0.34163591934377346,846.6022530702216
sri_lanka_corridor,Dondra Head / Sri Lanka corridor,Indian Ocean,True,399513.1147579026,410,303,0.19141914191419143,0.46953095061083694,102.62491639315829
southern_red_sea,Southern Red Sea,Red Sea / Horn of Africa,True,472458.3067218852,312,180,0.23333333333333334,0.49946582029722264,66.03757317016763
mozambique_channel,Mozambique Channel,Indian Ocean,False,2150470.5596377016,305,179,0.027932960893854747,0.36375385754695233,14.182942362688499
panama,Panama Canal approaches,Americas,True,130019.10172800618,233,173,0.028901734104046242,0.4059358662788741,179.20443758135247
northern_red_sea,Northern & Central Red Sea,Red Sea / Horn of Africa,True,831351.657997732,180,137,0.13138686131386862,0.29392782776141685,21.65148746242003
gulf_of_aden,Gulf of Aden,Red Sea / Horn of Africa,True,451285.22324502096,126,69,0.18840579710144928,0.5387366029834524,27.920258300057284
arabian_sea,Arabian Sea (open),Indian Ocean,False,2569101.3578508403,118,20,0.1,0.9662921348314608,4.5930457215869405
lombok,Lombok Strait,South East Asia,False,22002.045595269083,107,48,0.10416666666666667,0.4267608190910365,486.3184176975223
bab_el_mandeb,Bab-el-Mandeb,Red Sea / Horn of Africa,True,48225.887064353185,73,56,0.05357142857142857,0.05405405405405406,151.37098443122042
somali_basin,Somali Basin / Horn approaches,Indian Ocean,False,2557191.306499881,6,2,0.0,,0.23463242600384143
