cell_id,cell_lat,cell_lon,corridor,detections,dark,expected,sdr,dark_rate,solas_dark_rate,q_value,is_dark_spot,area_type,persistence,days_observed
26.0_55.5,26.0,55.5,Strait of Hormuz,38,31,5.540925594452554,5.5947331310560235,0.8157894736842105,0.8333333333333334,1.999627367383972e-18,True,Behavioural dark spot (selective switch-off),0.6666666666666666,3
25.5_54.5,25.5,54.5,Strait of Hormuz,136,128,26.177297394616584,4.889733194012742,0.9411764705882353,0.9487179487179487,2.2593828740925866e-78,True,Behavioural dark spot (selective switch-off),0.6666666666666666,3
25.5_55.0,25.5,55.0,Strait of Hormuz,196,183,37.48968789175581,4.881342318142977,0.9336734693877551,0.94,1.5716239590680785e-110,True,Behavioural dark spot (selective switch-off),1.0,2
26.5_56.0,26.5,56.0,Strait of Hormuz,115,97,21.140924781211687,4.588257183820342,0.8434782608695652,0.8350515463917526,5.922406004988354e-51,True,Behavioural dark spot (selective switch-off),1.0,3
44.0_37.5,44.0,37.5,Black Sea,144,113,24.636755600633602,4.586642893721521,0.7847222222222222,0.775,3.1960096987783165e-56,True,Behavioural dark spot (selective switch-off),0.8,5
35.5_139.5,35.5,139.5,Open ocean / other,73,73,16.057992296795003,4.546022855831733,1.0,1.0,8.509581879629969e-47,True,AIS dead zone (reception / feed gap),1.0,1
-7.0_110.0,-7.0,110.0,Open ocean / other,28,28,6.282451638572464,4.456858820541964,1.0,1.0,2.3241681057379813e-17,True,AIS dead zone (reception / feed gap),1.0,1
25.0_56.5,25.0,56.5,Strait of Hormuz,226,174,39.69965876593718,4.3829092090155255,0.7699115044247787,0.776595744680851,2.4757483030876556e-82,True,Behavioural dark spot (selective switch-off),0.6666666666666666,3
35.0_139.5,35.0,139.5,Open ocean / other,81,81,19.08120820468263,4.245014211423057,1.0,1.0,1.3079575197226987e-49,True,AIS dead zone (reception / feed gap),1.0,1
19.0_105.5,19.0,105.5,South China Sea,30,30,7.233056444763938,4.147624206875534,1.0,1.0,1.0840699529551567e-17,True,AIS dead zone (reception / feed gap),1.0,1
27.5_52.0,27.5,52.0,Persian Gulf,39,37,8.936279862140122,4.140425386267948,0.9487179487179487,0.9629629629629629,3.760112459515033e-20,True,Behavioural dark spot (selective switch-off),1.0,4
25.0_54.5,25.0,54.5,Strait of Hormuz,107,98,23.78709851436376,4.119880360390446,0.9158878504672897,0.9733333333333334,4.43621384003409e-51,True,Behavioural dark spot (selective switch-off),1.0,2
