week,country,admin1,admin_id,event_type,sub_event_type,disorder_type,events,fatalities,population_exposure,lat,lon
2014-12-27,Yemen,Abyan,3674,Explosions/Remote violence,Remote explosive/landmine/IED,Political violence,1,0,51274,13.6274,46.228
2014-12-27,Yemen,Ad Dali,3675,Violence against civilians,Attack,Political violence,1,0,56692,13.8943,44.7825
2014-12-27,Yemen,Aden,3676,Riots,Violent demonstration,Demonstrations,1,0,44415,12.8058,44.788
2014-12-27,Yemen,Aden,3676,Violence against civilians,Attack,Political violence,1,1,84205,12.8058,44.788
2014-12-27,Yemen,Al Bayda,3677,Battles,Armed clash,Political violence,1,0,4970,14.326,45.216
2014-12-27,Yemen,Al Bayda,3677,Explosions/Remote violence,Remote explosive/landmine/IED,Political violence,2,4,104918,14.326,45.216
2014-12-27,Yemen,Amanat al Asimah,3682,Riots,Violent demonstration,Demonstrations,1,0,133386,15.4201,44.1919
2014-12-27,Yemen,Amanat al Asimah,3682,Violence against civilians,Abduction/forced disappearance,Political violence,2,0,351401,15.4201,44.1919
2014-12-27,Yemen,Hadramawt,3685,Explosions/Remote violence,Remote explosive/landmine/IED,Political violence,2,4,125310,16.5288,48.6269
2014-12-27,Yemen,Marib,3689,Battles,Armed clash,Political violence,2,18,16,15.3329,45.4523
2014-12-27,Yemen,Shabwah,3693,Explosions/Remote violence,Shelling/artillery/missile attack,Political violence,1,0,13308,14.651,46.62
2015-01-03,Saudi Arabia,Northern Borders,2726,Battles,Armed clash,Political violence,1,7,106888,29.8425,42.6838
2015-01-03,Yemen,Abyan,3674,Explosions/Remote violence,Remote explosive/landmine/IED,Political violence,1,0,51274,13.6274,46.228
2015-01-03,Yemen,Ad Dali,3675,Battles,Armed clash,Political violence,2,1,99873,13.8943,44.7825
2015-01-03,Yemen,Aden,3676,Battles,Armed clash,Political violence,1,1,56372,12.8058,44.788
2015-01-03,Yemen,Aden,3676,Explosions/Remote violence,Grenade,Political violence,1,0,16804,12.8058,44.788
2015-01-03,Yemen,Aden,3676,Riots,Violent demonstration,Demonstrations,7,0,548169,12.8058,44.788
2015-01-03,Yemen,Al Bayda,3677,Battles,Armed clash,Political violence,5,25,45517,14.326,45.216
