week,chokepoint_id,chokepoint,events_within,fatalities_within,threat_events,events_weighted,threat_weighted,admin_units,events_4w,escalation_z,escalating
2014-12-27,somali_basin,Somali Basin / Horn approaches,4,1,3.0,1.6220824557809954,1.0823836056510232,3,4.0,,False
2014-12-27,gulf_of_aden,Gulf of Aden,15,27,11.0,13.107309030812361,9.559205704862812,8,15.0,,False
2014-12-27,southern_red_sea,Southern Red Sea,11,23,7.0,5.176518064618045,2.550596759995055,5,11.0,,False
2014-12-27,bab_el_mandeb,Bab-el-Mandeb,12,23,8.0,4.876306142076573,3.3198676973842383,6,12.0,,False
2015-01-03,southern_red_sea,Southern Red Sea,53,83,27.0,30.86081116835924,15.35835776306838,13,64.0,,False
2015-01-03,bab_el_mandeb,Bab-el-Mandeb,52,83,27.0,25.513374377036676,12.004053066862381,12,64.0,,False
2015-01-03,somali_basin,Somali Basin / Horn approaches,21,7,8.0,7.961970160802053,2.446942315652763,6,25.0,,False
2015-01-03,gulf_of_aden,Gulf of Aden,68,87,37.0,55.007759042557566,30.470868422931375,16,83.0,,False
2015-01-10,southern_red_sea,Southern Red Sea,45,20,23.0,24.003599277724298,13.643570307132471,10,109.0,,False
2015-01-10,gulf_of_aden,Gulf of Aden,55,27,31.0,49.716661219274165,27.424255206416472,13,138.0,,False
2015-01-10,somali_basin,Somali Basin / Horn approaches,34,7,16.0,13.277613105403539,4.796600665382576,5,59.0,,False
2015-01-10,bab_el_mandeb,Bab-el-Mandeb,48,22,26.0,28.419357195051262,14.512897181993365,11,112.0,,False
2015-01-17,somali_basin,Somali Basin / Horn approaches,19,2,7.0,7.2877307353143586,2.023769595115354,6,78.0,-0.04431333960293286,False
2015-01-17,southern_red_sea,Southern Red Sea,55,52,29.0,34.27964411429374,18.35291310605364,13,164.0,0.8370337857783313,False
2015-01-17,gulf_of_aden,Gulf of Aden,66,59,35.0,55.10435171007633,28.714488859735305,16,204.0,0.7240486142559965,False
2015-01-17,bab_el_mandeb,Bab-el-Mandeb,55,48,29.0,25.996721747546577,12.439029156490262,12,167.0,0.8019264807861631,False
2015-01-24,persian_gulf,Persian Gulf,1,0,1.0,0.7753129895853472,0.7753129895853472,1,1.0,,False
2015-01-24,bab_el_mandeb,Bab-el-Mandeb,81,77,40.0,39.774155062431255,18.42683334797132,12,236.0,1.9586273784769386,False
2015-01-24,somali_basin,Somali Basin / Horn approaches,42,22,18.0,15.107154909819034,6.310408045313022,6,116.0,1.831024032235109,False
2015-01-24,southern_red_sea,Southern Red Sea,69,68,35.0,40.949578376234015,19.374569299135043,11,222.0,1.3684339461472568,False
2015-01-24,gulf_of_aden,Gulf of Aden,92,85,49.0,78.18797063635739,40.55656100292013,14,281.0,1.6618587094600146,False
2015-01-31,bab_el_mandeb,Bab-el-Mandeb,46,54,25.0,26.406607300168044,15.061473929190022,12,230.0,-0.14584344411739478,False
2015-01-31,somali_basin,Somali Basin / Horn approaches,21,21,15.0,7.241301870852271,5.422363233897138,6,116.0,-0.20483662259967567,False
