rank,chokepoint_id,chokepoint,theatre,critical,detections,solas_detections,solas_dark_rate,standardised_dark_rate,solas_per_scene,throughput_ratio,deficit_pct,events_12w,events_prior_12w,conflict_intensity,escalation_trend,identification_risk,throughput_disruption,strategic_criticality,msri,tier,india_dependency,india_dependency_note,india_exposure
1,gulf_of_aden,Gulf of Aden,Red Sea / Horn of Africa,True,126,69,0.18840579710144928,0.5387366029834524,6.2727272727272725,0.18912745545911375,81.08725445408862,1402.0,1666.0,0.7799575191917917,0.844409228407642,0.20436033144273386,0.9981255857544518,1.0,0.722365964070668,RED,0.75,Convoy and escort water for Indian-flag shipping; anti-piracy patrol area.,0.541774473053001
2,southern_red_sea,Southern Red Sea,Red Sea / Horn of Africa,True,312,180,0.23333333333333334,0.49946582029722264,11.25,0.3391959798994975,66.08040201005025,1213.0,1440.0,0.7643836901050628,0.844994591959834,0.2593077773062643,0.8134020618556702,1.0,0.6953524680179409,RED,0.8,"Same corridor, northbound leg.",0.5562819744143528
3,bab_el_mandeb,Bab-el-Mandeb,Red Sea / Horn of Africa,True,73,56,0.05357142857142857,0.05405405405405406,6.222222222222222,0.18760469011725295,81.2395309882747,1015.0,1147.0,0.7452196947373062,0.8739453208633752,0.03945469034308311,1.0,1.0,0.6772603943996036,RED,0.8,Suez routing for India-Europe and India-US East Coast trade.,0.5418083155196829
4,black_sea,Black Sea,Black Sea,True,2628,1465,0.4812286689419795,0.6252413750651706,23.629032258064516,0.7124331334089804,28.75668665910196,774.0,921.0,0.7160760378906745,0.8436633222045195,0.5624896714318347,0.35397406052544067,1.0,0.6669857377663934,RED,0.45,Sunflower oil and fertiliser imports; a supply concentration rather than a route India sails.,0.300143581994877
5,eastern_med,Eastern Mediterranean,Mediterranean,True,2286,1290,0.07751937984496124,0.38111378438333965,19.545454545454547,0.5893101873001372,41.06898126998628,10836.0,10926.0,1.0,0.9408607113098753,0.06874360459275997,0.5055295220243673,1.0,0.6594209122495447,RED,0.4,Onward leg of the Suez route to European markets.,0.26376836489981786
6,hormuz,Strait of Hormuz,Persian Gulf,True,1965,1304,0.838957055214724,0.8540041674495169,118.54545454545455,3.574234810415715,-257.4234810415715,335.0,798.0,0.6261204977492164,0.4367042080870704,1.0,0.0,1.0,0.6220357556503646,RED,1.0,Bulk of India's crude and LPG imports originate inside the Gulf and must transit Hormuz.,0.6220357556503646
7,gulf_of_oman,Gulf of Oman,Persian Gulf,True,472,314,0.4585987261146497,0.6167785512890985,24.153846153846153,0.7282566679551604,27.174333204483958,281.0,537.0,0.6072625339916902,0.566153522067298,0.5348127128739105,0.33449643140364793,1.0,0.5873411263072245,AMBER,0.9,Immediate approach to Hormuz; Indian-flag and Indian-crewed tankers transit daily.,0.528607013676502
8,suez_canal,Suez Canal & Gulf of Suez,Red Sea / Mediterranean,True,756,424,0.02830188679245283,0.4377285405490334,35.333333333333336,1.0653266331658293,-6.532663316582932,9288.0,8821.0,0.9834097598553357,0.9760308213814669,0.008549439457967675,0.0,1.0,0.5443944230355459,AMBER,0.8,India-Europe container and refined-product flows.,0.4355155384284367
9,india_west_coast,India West Coast corridor,Indian Ocean,True,2442,407,0.07862407862407862,0.4474621223472055,21.42105263157895,0.6458608833641895,35.413911663581054,67.0,61.0,0.4541636203902676,1.0,0.07009467748595775,0.4359196961475854,1.0,0.5182485136985734,AMBER,1.0,"Kandla, Mumbai, JNPT, Cochin approaches - India's own gateway waters.",0.5182485136985734
10,persian_gulf,Persian Gulf,Persian Gulf,True,3613,1376,0.42441860465116277,0.5219596506918235,40.470588235294116,1.2202187407626368,-22.021874076263682,1120.0,2978.0,0.7558052875896931,0.37141098301499975,0.493009611007154,0.0,1.0,0.5179153721014618,AMBER,0.95,Loading ports for the same crude and LPG flows.,0.4920196034963887
11,bosphorus,Turkish Straits (Bosphorus-Dardanelles),Black Sea,True,1061,610,0.021311475409836064,0.256864634651613,43.57142857142857,1.3137114142139268,-31.37114142139268,601.0,760.0,0.6888870209255611,0.8079991326703282,0.0,0.0,1.0,0.4434216251319395,AMBER,0.2,,0.0886843250263879
12,south_china_sea,South China Sea,East Asia,True,6006,1379,0.14213197969543148,0.4170144407698809,20.582089552238806,0.6205655141378534,37.94344858621466,0.0,0.0,0.0,0.9457205838324488,0.14776635166844101,0.4670564702261887,1.0,0.42221096953721526,AMBER,0.5,India-East Asia trade and ONGC Videsh interests off Vietnam.,0.21110548476860763
13,cape_of_good_hope,Cape of Good Hope corridor,Indian Ocean,True,776,560,0.05,0.29432688570924764,21.53846153846154,0.6494008504058756,35.05991495941244,0.0,0.0,0.0,0.9457205838324488,0.0350867482179868,0.43156225218080885,1.0,0.3869422250655258,AMBER,0.5,Diversion route that Indian trade falls back on when Suez is unusable.,0.1934711125327629
14,sri_lanka_corridor,Dondra Head / Sri Lanka corridor,Indian Ocean,True,410,303,0.19141914191419143,0.46953095061083694,30.3,0.91356783919598,8.643216080402006,0.0,0.0,0.0,0.9457205838324488,0.20804572385133863,0.10639175257731953,1.0,0.3651478690531659,AMBER,0.9,Main east-west lane south of Sri Lanka; India's container transhipment axis.,0.3286330821478493
15,northern_red_sea,Northern & Central Red Sea,Red Sea / Horn of Africa,True,180,137,0.13138686131386862,0.29392782776141685,11.416666666666666,0.3442211055276382,65.57788944723619,0.0,4.0,0.0,0.0,0.13462481620740796,0.807216494845361,1.0,0.3450995030209242,GREEN,0.75,"Same corridor, approach to Suez.",0.2588246272656931
16,mozambique_channel,Mozambique Channel,Indian Ocean,False,305,179,0.027932960893854747,0.36375385754695233,7.782608695652174,0.2346515184618746,76.53484815381255,0.0,0.0,0.0,0.9457205838324488,0.008098234305380512,0.9420887494397132,0.0,0.33230039603915507,GREEN,0.45,India-Africa and LNG routes.,0.14953517821761977
17,taiwan_strait,Taiwan Strait,East Asia,True,1146,577,0.15251299826689774,0.27994813215323266,64.11111111111111,1.9329983249581242,-93.29983249581242,0.0,0.0,0.0,0.9457205838324488,0.1604625843979611,0.0,1.0,0.33197373367435756,GREEN,0.45,Electronics and semiconductor supply into Indian manufacturing.,0.14938818015346092
18,panama,Panama Canal approaches,Americas,True,233,173,0.028901734104046242,0.4059358662788741,28.833333333333332,0.8693467336683417,13.06532663316583,0.0,0.0,0.0,0.9457205838324488,0.009283066993429373,0.16082474226804128,1.0,0.32634380277683295,GREEN,0.2,Limited direct Indian dependence.,0.0652687605553666
