year,country,events
2015,Yemen,4411
2015,Iraq,7
2015,Indian Ocean,1
2016,Yemen,5068
2016,Iraq,4236
2016,Syria,149
2016,Turkey,142
2016,Saudi Arabia,53
2016,Palestine,21
2016,Lebanon,4
2017,Syria,9574
2017,Yemen,4372
2017,Iraq,1421
2017,Turkey,71
2017,Palestine,43
2017,Saudi Arabia,30
2017,Lebanon,18
2017,Jordan,2
2017,Indian Ocean,1
2017,Israel,1
2018,Syria,4054
2018,Yemen,3289
2018,Iraq,630
2018,Palestine,255
2018,Turkey,76
2018,Saudi Arabia,32
2018,Lebanon,3
2018,United Arab Emirates,1
2019,Syria,5104
2019,Yemen,1302
2019,Iraq,779
2019,Palestine,257
2019,Turkey,64
2019,Saudi Arabia,46
2019,Lebanon,7
2019,Israel,1
2020,Yemen,2200
2020,Syria,1290
2020,Iraq,989
2020,Palestine,126
2020,Turkey,35
2020,Saudi Arabia,21
2020,Iran,2
2020,Lebanon,1
2021,Yemen,2468
2021,Iraq,1462
2021,Syria,708
2021,Palestine,322
2021,Saudi Arabia,60
2021,Turkey,31
2021,Iran,2
2021,Lebanon,2
2021,Israel,1
2021,Mediterranean Sea,1
2021,Oman,1
2022,Iraq,1979
2022,Yemen,1416
2022,Syria,698
2022,Palestine,82
2022,Saudi Arabia,17
2022,Turkey,10
2022,Mediterranean Sea,2
2022,United Arab Emirates,2
2022,Indian Ocean,1
2022,Iran,1
2022,Lebanon,1
2023,Palestine,2149
2023,Iraq,2002
2023,Syria,778
2023,Lebanon,577
2023,Yemen,454
2023,Israel,16
2023,Mediterranean Sea,15
2023,Indian Ocean,12
2023,Turkey,6
2023,Saudi Arabia,2
2023,Iran,1
2024,Lebanon,8545
2024,Palestine,5822
2024,Iraq,4921
2024,Syria,1601
2024,Israel,315
2024,Yemen,292
2024,Indian Ocean,43
2024,Iran,19
2024,Turkey,12
2024,Mediterranean Sea,7
2024,Jordan,1
2025,Palestine,4954
2025,Lebanon,1153
2025,Iraq,750
2025,Yemen,633
2025,Syria,554
2025,Iran,434
2025,Indian Ocean,67
2025,Mediterranean Sea,18
2025,Israel,5
2025,Jordan,3
2025,Qatar,1
2025,Turkey,1
2026,Lebanon,5932
2026,Iran,3083
2026,Palestine,673
2026,Iraq,474
2026,Israel,286
2026,Syria,139
2026,United Arab Emirates,83
2026,Kuwait,74
2026,Yemen,68
2026,Bahrain,43
2026,Indian Ocean,36
2026,Saudi Arabia,20
2026,Jordan,15
2026,Oman,15
2026,Mediterranean Sea,9
2026,Qatar,7
2026,Turkey,1
