year,event_type,events,fatalities
2014,Battles,3,18
2014,Explosions/Remote violence,6,8
2014,Riots,2,0
2014,Violence against civilians,4,1
2015,Battles,2107,9666
2015,Explosions/Remote violence,5681,8613
2015,Protests,244,14
2015,Riots,57,34
2015,Strategic developments,243,30
2015,Violence against civilians,244,237
2016,Battles,6461,38570
2016,Explosions/Remote violence,14838,35498
2016,Protests,6881,33
2016,Riots,1799,47
2016,Strategic developments,1573,386
2016,Violence against civilians,1248,6355
2017,Battles,13515,55185
2017,Explosions/Remote violence,30344,46196
2017,Protests,6935,12
2017,Riots,2515,82
2017,Strategic developments,1687,299
2017,Violence against civilians,2077,5468
2018,Battles,9949,42395
2018,Explosions/Remote violence,22604,26847
2018,Protests,9016,76
2018,Riots,4622,288
2018,Strategic developments,3950,86
2018,Violence against civilians,2298,3078
2019,Battles,7926,26786
2019,Explosions/Remote violence,22701,18905
2019,Protests,11818,115
2019,Riots,4225,852
2019,Strategic developments,5025,251
2019,Violence against civilians,2695,1861
2020,Battles,8002,20750
2020,Explosions/Remote violence,14323,8511
2020,Protests,11555,44
2020,Riots,3980,162
2020,Strategic developments,6942,129
2020,Violence against civilians,3194,2087
2021,Battles,6807,16535
2021,Explosions/Remote violence,13430,9565
2021,Protests,15329,32
2021,Riots,5329,121
2021,Strategic developments,5866,114
2021,Violence against civilians,3455,1644
2022,Battles,6627,7266
2022,Explosions/Remote violence,15559,6584
2022,Protests,13627,58
2022,Riots,6199,502
2022,Strategic developments,6210,167
2022,Violence against civilians,3636,1791
2023,Battles,8396,8158
2023,Explosions/Remote violence,17139,25677
2023,Protests,18021,1
2023,Riots,6248,187
2023,Strategic developments,6468,91
2023,Violence against civilians,4310,2691
2024,Battles,8825,13786
2024,Explosions/Remote violence,41023,29504
2024,Protests,23163,38
2024,Riots,4738,92
2024,Strategic developments,9671,74
2024,Violence against civilians,4415,2117
2025,Battles,4646,5137
2025,Explosions/Remote violence,14983,18098
2025,Protests,22048,34
2025,Riots,5447,84
2025,Strategic developments,10907,55
2025,Violence against civilians,6458,6452
2026,Battles,1513,1525
2026,Explosions/Remote violence,15914,5845
2026,Protests,11321,4961
2026,Riots,3429,22700
2026,Strategic developments,7682,213
2026,Violence against civilians,2006,853
