week,admin1,events,fatalities
2015-09-05,North Indian Ocean,1,0
2016-01-30,North Indian Ocean,1,0
2016-02-27,North Indian Ocean,1,0
2016-03-26,North Indian Ocean,6,0
2016-10-01,North Indian Ocean,2,0
2016-10-08,North Indian Ocean,2,0
2016-10-15,North Indian Ocean,1,0
2017-01-28,North Indian Ocean,1,2
2017-03-11,North Indian Ocean,1,43
2017-04-15,North Indian Ocean,1,0
2017-05-27,North Indian Ocean,1,0
2017-11-04,North Indian Ocean,1,1
2018-01-20,North Indian Ocean,1,0
2018-03-31,North Indian Ocean,2,0
2018-04-21,North Indian Ocean,1,0
2018-04-28,Wider Black Sea Region,3,0
2018-05-19,North Indian Ocean,1,0
2018-06-16,North Indian Ocean,1,3
2018-07-21,North Indian Ocean,2,0
2018-08-04,Wider Black Sea Region,1,0
2018-08-25,North Indian Ocean,1,0
2018-09-01,North Indian Ocean,1,0
2018-09-01,Wider Black Sea Region,1,0
2018-09-22,Wider Black Sea Region,1,0
2019-04-13,Wider Black Sea Region,1,0
2019-04-27,Eastern Mediterranean Sea,1,0
2019-04-27,North Indian Ocean,1,0
2019-05-11,Wider Black Sea Region,1,0
2019-06-08,Eastern Mediterranean Sea,1,0
2019-06-08,North Indian Ocean,2,0
2019-06-15,North Indian Ocean,1,0
2019-06-22,Eastern Mediterranean Sea,1,0
2019-06-22,North Indian Ocean,1,0
2019-07-06,North Indian Ocean,1,0
2019-07-06,Wider Black Sea Region,1,0
2019-07-13,Eastern Mediterranean Sea,1,0
2019-07-20,Eastern Mediterranean Sea,1,0
2019-08-03,Wider Black Sea Region,1,0
2019-08-17,North Indian Ocean,1,0
2019-09-14,Eastern Mediterranean Sea,1,0
2019-09-14,North Indian Ocean,1,0
2019-09-28,Eastern Mediterranean Sea,1,0
2019-10-05,Eastern Mediterranean Sea,1,0
2019-10-05,North Indian Ocean,1,0
2019-10-12,Eastern Mediterranean Sea,1,0
2019-10-19,Eastern Mediterranean Sea,1,0
2019-11-16,Eastern Mediterranean Sea,1,0
2019-11-23,North Indian Ocean,1,0
2020-01-18,Eastern Mediterranean Sea,1,0
2020-02-01,North Indian Ocean,1,3
2020-02-08,North Indian Ocean,1,0
2020-02-22,North Indian Ocean,2,0
2020-02-29,Eastern Mediterranean Sea,2,0
2020-02-29,North Indian Ocean,1,0
2020-03-14,North Indian Ocean,1,0
2020-04-11,North Indian Ocean,2,0
2020-05-09,North Indian Ocean,1,19
2020-05-16,North Indian Ocean,1,0
2020-06-20,North Indian Ocean,1,0
2020-06-27,North Indian Ocean,1,0
2020-07-18,Eastern Mediterranean Sea,1,0
2020-08-01,Eastern Mediterranean Sea,1,0
2020-08-08,Eastern Mediterranean Sea,1,0
2020-08-08,North Indian Ocean,2,0
2020-08-22,Eastern Mediterranean Sea,2,0
2020-08-29,North Indian Ocean,1,0
2020-09-05,North Indian Ocean,1,0
2020-09-12,Eastern Mediterranean Sea,1,0
2020-10-03,North Indian Ocean,1,0
2020-10-10,Eastern Mediterranean Sea,1,0
2020-10-31,Eastern Mediterranean Sea,1,0
2020-11-07,North Indian Ocean,2,0
2020-11-14,North Indian Ocean,1,0
2020-11-21,North Indian Ocean,5,0
2020-12-05,North Indian Ocean,1,0
2020-12-19,North Indian Ocean,3,0
2020-12-26,North Indian Ocean,2,0
2021-01-09,North Indian Ocean,1,0
2021-01-16,North Indian Ocean,1,0
2021-02-20,North Indian Ocean,2,0
2021-03-06,Eastern Mediterranean Sea,1,0
2021-03-20,North Indian Ocean,1,0
2021-04-03,North Indian Ocean,1,0
2021-05-01,North Indian Ocean,1,0
2021-05-08,Eastern Mediterranean Sea,1,0
2021-05-08,North Indian Ocean,1,0
2021-05-15,Eastern Mediterranean Sea,1,0
2021-05-22,North Indian Ocean,1,0
2021-06-19,Eastern Mediterranean Sea,1,0
2021-07-31,North Indian Ocean,1,0
2021-09-04,North Indian Ocean,1,0
2021-10-02,Eastern Mediterranean Sea,1,0
2021-10-09,North Indian Ocean,1,0
2021-10-23,North Indian Ocean,1,0
2021-10-30,North Indian Ocean,1,0
2021-11-06,North Indian Ocean,1,0
2021-11-27,North Indian Ocean,1,0
2021-12-18,North Indian Ocean,2,0
2022-01-15,North Indian Ocean,1,0
2022-01-22,North Indian Ocean,1,0
2022-02-12,North Indian Ocean,1,0
2022-02-19,North Indian Ocean,2,0
2022-02-26,Eastern Mediterranean Sea,1,0
