year,sub_event_type,events
2014,Abduction/forced disappearance,2
2014,Armed clash,3
2014,Attack,2
2014,Remote explosive/landmine/IED,5
2014,Shelling/artillery/missile attack,1
2014,Violent demonstration,2
2015,Abduction/forced disappearance,46
2015,Agreement,12
2015,Air/drone strike,4419
2015,Armed clash,1803
2015,Arrests,12
2015,Attack,198
2015,Change to group/activity,58
2015,Disrupted weapons use,48
2015,Excessive force against protesters,21
2015,Government regains territory,153
2015,Grenade,47
2015,Headquarters or base established,7
2015,Looting/property destruction,40
2015,Mob violence,8
2015,Non-state actor overtakes territory,151
2015,Non-violent transfer of territory,54
2015,Other,12
2015,Peaceful protest,210
2015,Protest with intervention,13
2015,Remote explosive/landmine/IED,316
2015,Shelling/artillery/missile attack,869
2015,Suicide bomb,30
2015,Violent demonstration,49
2016,Abduction/forced disappearance,134
2016,Agreement,27
2016,Air/drone strike,9673
2016,Armed clash,5216
2016,Arrests,186
2016,Attack,1113
2016,Change to group/activity,237
2016,Chemical weapon,17
2016,Disrupted weapons use,429
2016,Excessive force against protesters,39
2016,Government regains territory,1173
2016,Grenade,79
2016,Headquarters or base established,1
2016,Looting/property destruction,300
2016,Mob violence,470
2016,Non-state actor overtakes territory,72
2016,Non-violent transfer of territory,43
2016,Other,350
2016,Peaceful protest,6515
2016,Protest with intervention,327
2016,Remote explosive/landmine/IED,1994
2016,Sexual violence,1
2016,Shelling/artillery/missile attack,2806
2016,Suicide bomb,269
2016,Violent demonstration,1329
2017,Abduction/forced disappearance,155
2017,Agreement,72
2017,Air/drone strike,15533
2017,Armed clash,11041
2017,Arrests,131
2017,Attack,1917
2017,Change to group/activity,343
2017,Chemical weapon,46
2017,Disrupted weapons use,402
2017,Excessive force against protesters,66
2017,Government regains territory,1567
2017,Grenade,67
2017,Headquarters or base established,36
2017,Looting/property destruction,163
2017,Mob violence,697
2017,Non-state actor overtakes territory,907
2017,Non-violent transfer of territory,231
2017,Other,309
2017,Peaceful protest,6401
2017,Protest with intervention,468
2017,Remote explosive/landmine/IED,2860
2017,Sexual violence,5
2017,Shelling/artillery/missile attack,11603
2017,Suicide bomb,235
2017,Violent demonstration,1818
2018,Abduction/forced disappearance,262
2018,Agreement,179
2018,Air/drone strike,8340
2018,Armed clash,8060
2018,Arrests,272
2018,Attack,2018
2018,Change to group/activity,970
2018,Chemical weapon,20
2018,Disrupted weapons use,431
2018,Excessive force against protesters,498
2018,Government regains territory,1151
2018,Grenade,95
2018,Headquarters or base established,120
2018,Looting/property destruction,634
2018,Mob violence,2927
2018,Non-state actor overtakes territory,738
2018,Non-violent transfer of territory,222
2018,Other,1122
2018,Peaceful protest,7819
2018,Protest with intervention,699
2018,Remote explosive/landmine/IED,3178
2018,Sexual violence,18
2018,Shelling/artillery/missile attack,10930
2018,Suicide bomb,41
2018,Violent demonstration,1695
2019,Abduction/forced disappearance,508
2019,Agreement,69
2019,Air/drone strike,7560
2019,Armed clash,7118
2019,Arrests,523
2019,Attack,2183
2019,Change to group/activity,1400
2019,Chemical weapon,1
2019,Disrupted weapons use,442
2019,Excessive force against protesters,178
2019,Government regains territory,466
2019,Grenade,145
2019,Headquarters or base established,21
2019,Looting/property destruction,1076
2019,Mob violence,2242
2019,Non-state actor overtakes territory,342
2019,Non-violent transfer of territory,125
2019,Other,1369
2019,Peaceful protest,10637
2019,Protest with intervention,1003
2019,Remote explosive/landmine/IED,2321
2019,Sexual violence,4
2019,Shelling/artillery/missile attack,12637
2019,Suicide bomb,37
2019,Violent demonstration,1983
2020,Abduction/forced disappearance,717
2020,Agreement,64
2020,Air/drone strike,4664
2020,Armed clash,7143
2020,Arrests,482
2020,Attack,2466
2020,Change to group/activity,2133
2020,Disrupted weapons use,502
2020,Excessive force against protesters,90
2020,Government regains territory,767
2020,Grenade,272
2020,Headquarters or base established,96
2020,Looting/property destruction,2195
2020,Mob violence,2332
2020,Non-state actor overtakes territory,92
2020,Non-violent transfer of territory,46
2020,Other,1424
2020,Peaceful protest,10634
2020,Protest with intervention,831
2020,Remote explosive/landmine/IED,2194
2020,Sexual violence,11
2020,Shelling/artillery/missile attack,7183
2020,Suicide bomb,10
2020,Violent demonstration,1648
2021,Abduction/forced disappearance,1014
2021,Agreement,34
2021,Air/drone strike,5058
2021,Armed clash,6304
2021,Arrests,535
2021,Attack,2437
2021,Change to group/activity,1262
2021,Disrupted weapons use,842
2021,Excessive force against protesters,182
2021,Government regains territory,436
2021,Grenade,182
2021,Headquarters or base established,36
2021,Looting/property destruction,2100
2021,Mob violence,3380
2021,Non-state actor overtakes territory,67
2021,Non-violent transfer of territory,29
2021,Other,1028
2021,Peaceful protest,14314
2021,Protest with intervention,833
2021,Remote explosive/landmine/IED,2267
2021,Sexual violence,4
2021,Shelling/artillery/missile attack,5914
2021,Suicide bomb,9
2021,Violent demonstration,1949
2022,Abduction/forced disappearance,1091
2022,Agreement,26
2022,Air/drone strike,4209
2022,Armed clash,6432
2022,Arrests,768
2022,Attack,2534
2022,Change to group/activity,1545
2022,Disrupted weapons use,481
2022,Excessive force against protesters,103
2022,Government regains territory,88
2022,Grenade,268
2022,Headquarters or base established,30
2022,Looting/property destruction,1659
2022,Mob violence,4617
2022,Non-state actor overtakes territory,107
2022,Non-violent transfer of territory,41
2022,Other,1660
2022,Peaceful protest,12601
2022,Protest with intervention,923
2022,Remote explosive/landmine/IED,1752
2022,Sexual violence,11
2022,Shelling/artillery/missile attack,9324
2022,Suicide bomb,6
2022,Violent demonstration,1582
2023,Abduction/forced disappearance,1186
2023,Agreement,22
2023,Air/drone strike,6012
2023,Armed clash,8324
2023,Arrests,1195
2023,Attack,3114
