country,admin1,events,fatalities,population_exposure,lat,lon
Palestine,West Bank,58630,2230,1129630,31.9475,35.267
Palestine,Gaza Strip,37943,70628,1840465,31.407,34.3577
Syria,Aleppo,27835,19132,1014150,36.1445,37.3978
Syria,Idleb,27713,16659,605662,35.8547,36.5648
Syria,Hama,18594,14474,937737,35.3165,37.3411
Syria,Deir ez Zor,17990,26425,467541,35.2318,40.2761
Lebanon,Al Nabatieh,17929,2862,331988,33.2832,35.4971
Yemen,Al Hudaydah,16198,18730,1088990,14.7791,43.2181
Iraq,Duhok,16041,2792,499788,37.0446,43.1386
Yemen,Sadah,15628,21304,638905,17.0883,44.0424
Yemen,Taizz,13247,23906,564550,13.2949,43.7855
Syria,Al Hasakeh,11806,7125,665649,36.4131,40.5519
Lebanon,South,10994,2726,496198,33.3416,35.3035
Yemen,Marib,10593,24062,117128,15.3329,45.4523
Syria,Ar Raqqa,10133,14099,422914,36.0265,38.922
Syria,Dara,10068,9226,321626,32.831,36.1112
Syria,Rural Damascus,9381,16083,514021,33.4538,37.4305
Turkey,Istanbul,8487,331,1686835,41.2707,28.4707
Iraq,Ninewa,8471,43787,1631843,35.9879,42.3496
Iran,Tehran,8020,11118,12731556,35.5022,51.3269
Israel,HaZafon,7031,82,993083,32.839,35.3807
Bahrain,Capital,6914,9,398552,26.1927,50.5508
Iraq,Al Anbar,6694,26224,660908,33.1774,41.3987
Iraq,Baghdad,6573,6742,4217156,33.278,44.3783
Yemen,Hajjah,6444,10625,926266,16.0944,43.2039
Bahrain,Northern,6265,9,231735,26.1468,50.4809
Syria,Homs,6191,8976,524662,34.4708,38.2063
Yemen,Al Jawf,5823,16021,131219,16.5962,45.5989
Iraq,Erbil,5626,2794,891417,36.3791,44.2104
Yemen,Ad Dali,5363,11149,236273,13.8943,44.7825
Yemen,Ibb,5326,1575,726381,14.0881,44.175
Iran,Khuzestan,5203,1838,2077539,31.4636,48.9916
Yemen,Sanaa,5196,7965,303830,15.3931,44.4753
Turkey,Ankara,4520,255,513929,39.7073,32.5011
Turkey,Izmir,4436,17,542722,38.5994,27.042
Yemen,Aden,4215,3592,548169,12.8058,44.788
Yemen,Al Bayda,3989,9731,317738,14.326,45.216
Iraq,Diyala,3966,3801,453305,34.0711,44.8903
Israel,HaDarom,3938,1855,1019429,30.6783,34.8831
Yemen,Amanat al Asimah,3922,2398,1780197,15.4201,44.1919
Iraq,Kirkuk,3890,8174,524239,35.2858,44.0603
Turkey,Diyarbakir,3849,1072,649406,38.1105,40.2245
Yemen,Lahij,3610,5109,251558,13.3204,44.7623
Iraq,Salah Al Din,3516,10195,506763,34.6687,43.6316
Yemen,Abyan,3507,3655,218329,13.6274,46.228
Syria,Quneitra,3423,831,48418,33.0113,35.7989
Iraq,Al Basrah,3401,501,950465,30.2047,47.5084
Yemen,Shabwah,3379,4812,164593,14.651,46.62
Lebanon,Mount Lebanon,3373,553,812213,33.8513,35.6478
Syria,Lattakia,3330,3898,798118,35.5854,35.9916
Lebanon,Beirut,3112,157,456910,33.8886,35.5016
Syria,As Sweida,3082,2316,324203,32.7624,36.8919
Israel,HaMerkaz,3058,51,1221448,32.085,34.9167
Lebanon,North,2846,115,436407,34.3195,35.9369
Israel,Tel Aviv,2827,68,1124299,32.0984,34.8103
Lebanon,Baalbek-Hermel,2589,1642,266434,34.1673,36.2993
Iraq,Thi Qar,2389,581,780113,31.2876,46.2732
Iran,Isfahan,2332,2229,1987860,32.6094,52.0477
Syria,Damascus,2318,3408,1328365,33.5153,36.2738
Israel,Haifa,2171,32,823495,32.6278,34.9819
Turkey,Hakkari,2103,1930,198640,37.3909,43.9965
Israel,Jerusalem,2047,30,240352,31.7281,34.9945
Lebanon,Bekaa,2020,369,170715,33.6407,35.8097
Saudi Arabia,Jizan,1948,4182,174441,17.353,42.7999
Turkey,Sirnak,1910,2403,314469,37.4379,42.5882
Yemen,Hadramawt,1852,1215,495442,16.5288,48.6269
Iraq,Al Sulaymaniyah,1820,480,780622,35.5263,45.379
Turkey,Van,1766,420,471013,38.5455,43.5949
Jordan,Amman,1703,17,574484,31.6696,36.3151
Iran,Sistan and Baluchestan,1680,1710,1008390,28.2728,60.8613
Yemen,Amran,1638,711,304367,16.1156,43.9414
Yemen,Dhamar,1625,683,430616,14.5395,44.3063
Iran,Kurdistan,1600,405,1024665,35.6014,47.0057
Iraq,Maysan,1544,448,573053,31.999,47.135
