week,events,fatalities,population_exposure,admin_units,lethality
2014-12-27,15,27,969895,8,1.8
2015-01-03,69,94,4208229,17,1.3623188405797102
2015-01-10,55,27,3977074,13,0.4909090909090909
2015-01-17,66,59,4093939,16,0.8939393939393939
2015-01-24,93,85,5213900,15,0.9139784946236559
2015-01-31,56,62,2972874,16,1.1071428571428572
2015-02-07,79,117,3840709,14,1.481012658227848
2015-02-14,68,124,3160904,16,1.8235294117647058
2015-02-21,59,45,2883890,14,0.7627118644067796
2015-02-28,52,73,2807771,15,1.4038461538461537
2015-03-07,49,70,2190563,13,1.4285714285714286
2015-03-14,67,230,3444803,17,3.4328358208955225
2015-03-21,132,296,3994381,16,2.242424242424242
2015-03-28,224,719,6938071,20,3.2098214285714284
2015-04-04,219,560,6393580,19,2.557077625570776
2015-04-11,178,645,5123763,18,3.6235955056179776
2015-04-18,181,656,5530217,16,3.6243093922651934
2015-04-25,245,797,7153163,19,3.253061224489796
2015-05-02,177,454,4775689,20,2.5649717514124295
2015-05-09,178,497,5416015,20,2.792134831460674
2015-05-16,204,336,6337024,20,1.6470588235294117
2015-05-23,185,532,5473761,21,2.8756756756756756
2015-05-30,231,444,6211870,21,1.922077922077922
2015-06-06,193,429,4914082,20,2.22279792746114
2015-06-13,212,452,5994709,22,2.1320754716981134
2015-06-20,241,452,5319868,21,1.8755186721991701
2015-06-27,202,403,4897733,24,1.995049504950495
2015-07-04,151,461,4248930,22,3.052980132450331
2015-07-11,131,234,3042305,20,1.786259541984733
2015-07-18,46,311,1240794,12,6.760869565217392
2015-07-25,128,332,2575200,21,2.59375
2015-08-01,167,459,3652559,22,2.748502994011976
2015-08-08,147,417,4204331,21,2.836734693877551
2015-08-15,172,381,3886524,20,2.2151162790697674
2015-08-22,157,339,4122766,20,2.159235668789809
2015-08-29,187,332,4611920,18,1.7754010695187166
2015-09-05,221,387,4888191,19,1.751131221719457
2015-09-12,247,396,4464020,21,1.6032388663967612
2015-09-19,228,362,4956869,19,1.587719298245614
2015-09-26,203,351,3647122,17,1.729064039408867
2015-10-03,249,353,3657737,21,1.4176706827309238
2015-10-10,262,369,4450800,20,1.4083969465648856
2015-10-17,220,494,3778445,20,2.2454545454545456
2015-10-24,235,250,4462561,20,1.0638297872340425
2015-10-31,195,436,3546886,19,2.235897435897436
2015-11-07,162,277,3379437,23,1.7098765432098766
2015-11-14,192,467,2459737,21,2.4322916666666665
2015-11-21,195,405,2368115,17,2.076923076923077
2015-11-28,182,343,3027594,20,1.8846153846153846
2015-12-05,194,457,2187774,20,2.3556701030927836
2015-12-12,178,470,2646179,20,2.640449438202247
2015-12-19,160,356,2707034,20,2.225
2015-12-26,252,497,6246169,39,1.9722222222222223
2016-01-02,724,2121,20513936,73,2.929558011049724
2016-01-09,685,1891,20016279,76,2.7605839416058395
2016-01-16,619,1154,20719072,78,1.864297253634895
2016-01-23,565,1377,14818964,74,2.4371681415929203
2016-01-30,639,1535,17359054,83,2.4021909233176837
2016-02-06,608,1758,17197891,69,2.8914473684210527
2016-02-13,722,1308,19861929,78,1.811634349030471
2016-02-20,581,1148,18170671,82,1.9759036144578312
2016-02-27,553,1194,21174613,74,2.159132007233273
2016-03-05,547,1540,18374381,88,2.8153564899451555
2016-03-12,487,1302,14057872,71,2.673511293634497
2016-03-19,463,1262,13759655,67,2.7257019438444923
2016-03-26,500,1378,15686940,82,2.756
2016-04-02,721,2989,19725771,80,4.145631067961165
2016-04-09,703,1934,18771951,80,2.7510668563300142
2016-04-16,469,834,12472754,74,1.7782515991471215
2016-04-23,595,1839,17118515,84,3.0907563025210085
2016-04-30,595,1936,15112424,104,3.253781512605042
2016-05-07,580,1863,16082556,82,3.212068965517241
2016-05-14,571,1615,16462214,83,2.828371278458844
2016-05-21,575,1552,15013318,75,2.699130434782609
2016-05-28,500,1192,11266001,76,2.384
2016-06-04,537,1554,13444131,81,2.893854748603352
2016-06-11,510,1163,12631733,73,2.280392156862745
2016-06-18,507,1025,10448313,75,2.021696252465483
2016-06-25,538,1721,13237724,79,3.1988847583643123
2016-07-02,439,2370,13545287,72,5.398633257403189
2016-07-09,599,1741,20103961,94,2.9065108514190316
2016-07-16,1274,1089,19400455,133,0.8547880690737834
2016-07-23,1181,1081,17697491,139,0.9153259949195597
2016-07-30,550,1242,12610992,98,2.2581818181818183
2016-08-06,696,1597,16603085,84,2.2945402298850577
2016-08-13,733,1726,18647478,84,2.3547066848567533
2016-08-20,615,1321,16769696,79,2.1479674796747967
2016-08-27,596,1198,19459146,76,2.01006711409396
2016-09-03,621,1339,14051328,86,2.156199677938808
2016-09-10,507,1119,12378371,57,2.2071005917159763
2016-09-17,650,1322,15572773,75,2.0338461538461536
2016-09-24,674,1307,15055906,87,1.9391691394658754
2016-10-01,572,865,17588972,82,1.5122377622377623
2016-10-08,589,1353,15796939,86,2.297113752122241
2016-10-15,583,1665,14324579,74,2.855917667238422
2016-10-22,570,1662,11489359,72,2.9157894736842107
2016-10-29,639,1682,14640302,76,2.632237871674491
2016-11-05,688,2273,20906509,82,3.303779069767442
2016-11-12,539,1765,15608839,66,3.274582560296846
2016-11-19,517,1578,15169253,68,3.0522243713733075
2016-11-26,491,1339,15080518,67,2.7270875763747453
2016-12-03,547,1049,14624728,76,1.9177330895795246
2016-12-10,604,1440,13527689,95,2.384105960264901
2016-12-17,629,1175,16843706,96,1.8680445151033387
2016-12-24,573,1543,11683319,71,2.6928446771378707
2016-12-31,1030,2863,25471273,96,2.7796116504854367
2017-01-07,1286,3060,26865517,89,2.3794712286158632
2017-01-14,1548,2799,21676351,95,1.808139534883721
