lag_weeks,correlation,p_value
-10,0.48395267324017893,9.175851653573912e-24
-9,0.5017183633602721,9.550518315760981e-26
-8,0.4993112551441819,1.5294339690687504e-25
-7,0.4988289605001882,1.4972309094213667e-25
-6,0.5108012110733715,5.66653995801128e-27
-5,0.5555118514909829,1.233521870195182e-32
-4,0.5448133441101509,2.692625860083353e-31
-3,0.540793558170169,7.4969494488344595e-31
-2,0.5661119045329418,2.41750546932291e-34
-1,0.6026296196061998,6.409467966575897e-40
0,0.6255592495309693,7.443315253909544e-44
1,0.6008413573652299,1.2369120702705977e-39
2,0.5850512610015601,4.253998355289073e-37
3,0.5833514602120327,9.425385362871296e-37
4,0.6000422318827853,3.249361676917546e-39
5,0.5950063963626812,2.4738573065614033e-38
6,0.568123931330268,2.753575114898314e-34
7,0.5575217554821038,9.597633577694314e-33
8,0.5715263147563957,1.3573022220351983e-34
9,0.5424795643740427,1.3013020449045984e-30
10,0.5361230467021944,9.802699539164249e-30
