cluster,dark_detections,centre_lat,centre_lon,mean_length_m,max_length_m,first_seen,last_seen,corridor,theatre,no_candidate_share,radius_p90_km,local_detections,local_solas_dark_rate
5,1401,25.638424570427663,55.612256109122626,184.16108867380441,422.057159,2026-03-02 14:32:53+00:00,2026-03-14 14:33:43+00:00,Strait of Hormuz,Persian Gulf,0.8137044967880086,175.9677613700576,2357,0.8161812297734627
2,510,44.66261951600681,37.34442615307617,162.6198886372549,315.798798,2026-03-02 03:32:47+00:00,2026-03-14 03:33:12+00:00,Black Sea,Black Sea,0.7019607843137254,135.64001762646348,932,0.759075907590759
6,134,25.757920892553667,51.86709726028541,185.86868797761196,377.042084,2026-03-02 14:33:18+00:00,2026-03-14 14:33:43+00:00,Persian Gulf,Persian Gulf,0.7985074626865671,51.94279080142108,363,0.6185567010309279
8,120,36.14118343552623,14.684752199900752,174.01994621666665,364.203461,2026-03-02 05:13:36+00:00,2026-03-09 05:05:29+00:00,Open ocean / other,Other,0.9583333333333334,94.9473660603638,227,0.6878980891719745
9,98,35.35409555835674,139.78557799524876,137.88774074489797,326.791901,2026-03-03 20:43:50+00:00,2026-03-03 20:43:50+00:00,Open ocean / other,Other,1.0,68.79793691514878,193,1.0
1,63,46.91729145289896,38.331553804714346,127.90046798412699,161.194077,2026-03-02 03:31:57+00:00,2026-03-14 03:31:57+00:00,Black Sea,Black Sea,0.49206349206349204,55.293838343986984,121,0.7
7,58,27.50235608509296,52.137425122343444,174.11796612068966,326.703278,2026-03-02 14:33:43+00:00,2026-03-14 14:34:08+00:00,Persian Gulf,Persian Gulf,0.7241379310344828,54.85764512953912,124,0.8125
10,55,20.950625461995386,87.68780431082206,186.1467550181818,260.763306,2026-03-04 00:05:23+00:00,2026-03-06 12:20:26+00:00,Bay of Bengal,Indian Ocean,1.0,67.39826706755045,237,0.3712121212121212
3,55,54.68750255808609,18.544436396684244,155.40160852727274,342.213226,2026-03-02 05:08:36+00:00,2026-03-14 05:08:37+00:00,Open ocean / other,Other,0.9272727272727272,71.1801821324322,276,0.5444444444444444
0,48,36.266249506363486,22.7139370884622,166.61127070833334,295.675049,2026-03-01 04:32:39+00:00,2026-03-13 04:32:39+00:00,Open ocean / other,Other,1.0,61.40826789747735,106,0.589041095890411
4,45,28.249168980831907,-15.05066607262347,181.81052435555554,399.787811,2026-03-02 06:54:36+00:00,2026-03-14 06:54:36+00:00,Open ocean / other,Other,0.9555555555555556,61.00874631309429,97,0.5194805194805194
11,43,1.95871312678966,104.7335186659769,251.96259948837212,376.431061,2026-03-07 11:17:37+00:00,2026-03-07 11:17:37+00:00,Open ocean / other,Other,0.7906976744186046,29.352514188949606,183,0.26573426573426573
12,43,25.322450623152623,120.27661868771862,188.0534645116279,398.726471,2026-03-07 21:52:28+00:00,2026-03-07 21:52:28+00:00,Taiwan Strait,East Asia,1.0,58.499151901201884,201,0.36792452830188677
13,40,5.75343345085282,96.98173519405367,214.98726500000004,332.583252,2026-03-09 23:20:02+00:00,2026-03-09 23:20:02+00:00,Open ocean / other,Other,1.0,53.91550440601809,85,0.5454545454545454
