feature,gain_importance,permutation_importance,permutation_std
abs_lat,0.2524971900337011,0.024455443666913292,0.004330692801637979
conflict_nearest_km,0.1785026942937602,0.022376969903851733,0.0027670779841645296
mean_length_m,0.1013098046858339,0.009950124215357266,0.002109997078646694
fishing_share,0.11832006822625322,0.008476228404543918,0.0018020644793767435
dist_critical_km,0.06155150308558971,0.00831086078397915,0.002403654025900293
conflict_events_300km,0.11857406326289392,0.0077639339288085715,0.0011239035746071382
density_per_1k_km2,0.07269064599769139,0.006548709487777682,0.0008714961751760119
solas_share,0.0616710725302429,0.0029022775976182153,0.0005785604495125204
log_detections,0.020865663336165942,0.002277218334566089,0.00045350385063775133
scenes,0.01401729454786778,0.0011712275511559364,0.0006115029276375429
