chokepoint,no AIS candidate at all,provider label (headline),provider label + weak matches,"provider label, SOLAS class only"
Arabian Sea (open),0.6694915254237288,0.7796610169491526,0.864406779661017,0.1
Bab-el-Mandeb,0.1232876712328767,0.2191780821917808,0.3972602739726027,0.05357142857142857
Bay of Bengal,0.6208092485549133,0.7236994219653179,0.8026974951830443,0.17452830188679244
Black Sea,0.34779299847793,0.5487062404870624,0.693302891933029,0.4812286689419795
Cape of Good Hope corridor,0.11469072164948453,0.15721649484536082,0.5502577319587629,0.05
Dondra Head / Sri Lanka corridor,0.16829268292682928,0.3073170731707317,0.6170731707317073,0.19141914191419143
Dover Strait / English Channel,0.08220858895705521,0.16748466257668712,0.4736196319018405,0.0440251572327044
Eastern Mediterranean,0.1552930883639545,0.27165354330708663,0.49343832020997375,0.07751937984496124
Gulf of Aden,0.3253968253968254,0.42857142857142855,0.6190476190476191,0.18840579710144928
Gulf of Guinea,0.11619919862621637,0.17916428162564396,0.31310818546078995,0.056862745098039215
Gulf of Oman,0.3622881355932203,0.5402542372881356,0.7097457627118644,0.4585987261146497
India West Coast corridor,0.6322686322686323,0.7375102375102375,0.7956592956592956,0.07862407862407862
Lombok Strait,0.102803738317757,0.29906542056074764,0.4485981308411215,0.10416666666666667
Mozambique Channel,0.1540983606557377,0.20327868852459016,0.35081967213114756,0.027932960893854747
Northern & Central Red Sea,0.1111111111111111,0.2611111111111111,0.5111111111111111,0.13138686131386862
Open ocean / other,0.24364299747403872,0.3626017401066517,0.5671625035082796,0.10181039517227954
Panama Canal approaches,0.06437768240343347,0.15450643776824036,0.4291845493562232,0.028901734104046242
Persian Gulf,0.3221699418765569,0.47522834209797954,0.6141710489897592,0.42441860465116277
Singapore Strait,0.015810276679841896,0.09288537549407115,0.36561264822134387,0.02416918429003021
Somali Basin / Horn approaches,0.16666666666666666,0.3333333333333333,1.0,0.0
South China Sea,0.2962037962037962,0.5079920079920079,0.6958041958041958,0.14213197969543148
Southern Red Sea,0.23397435897435898,0.42948717948717946,0.6089743589743589,0.23333333333333334
Strait of Gibraltar,0.12771084337349398,0.2,0.5349397590361445,0.06227106227106227
Strait of Hormuz,0.6844783715012722,0.8366412213740458,0.9078880407124682,0.838957055214724
Strait of Malacca,0.26156299840510366,0.4082934609250399,0.6403508771929824,0.10627177700348432
Suez Canal & Gulf of Suez,0.2830687830687831,0.3412698412698413,0.47354497354497355,0.02830188679245283
Sunda Strait,0.1262135922330097,0.23300970873786409,0.4441747572815534,0.11055276381909548
Taiwan Strait,0.12914485165794065,0.22425828970331588,0.37347294938917974,0.15251299826689774
Turkish Straits (Bosphorus-Dardanelles),0.049010367577756835,0.13006597549481622,0.3920829406220547,0.021311475409836064
