cell_id,cell_lat,cell_lon,detections,dark,expected,solas,solas_dark,mean_length_m,fishing_share,cell_area_km2,scenes,corridor,dark_rate,expected_rate,sdr,excess_dark,density_per_1k_km2,solas_dark_rate,dark_rate_lo,dark_rate_hi,p_value,q_value,is_dark_spot,matched,matched_share,area_type,days_observed,days_dark_majority,persistence
26.0_55.5,26.0,55.5,38,31,5.540925594452554,36,30,197.4937136,0.0,2772.3023971976045,4,Strait of Hormuz,0.8157894736842105,0.14581383143296195,5.5947331310560235,25.459074405547447,13.707018411271616,0.8333333333333334,0.6658083165848865,0.907783515467425,5.2013428631375e-20,1.999627367383972e-18,True,7,0.18421052631578946,Behavioural dark spot (selective switch-off),3,2,0.6666666666666666
25.5_54.5,25.5,54.5,136,128,26.177297394616584,117,111,188.8549460522059,0.058823529411764705,2784.1273041239665,5,Strait of Hormuz,0.9411764705882353,0.19248012790159252,4.889733194012742,101.82270260538341,48.84834102181717,0.9487179487179487,0.8882184758686555,0.969895275690251,1.0883347177709955e-80,2.2593828740925866e-78,True,8,0.058823529411764705,Behavioural dark spot (selective switch-off),3,2,0.6666666666666666
25.5_55.0,25.5,55.0,196,183,37.48968789175581,150,141,145.32906835255102,0.08163265306122448,2784.1273041239665,3,Strait of Hormuz,0.9336734693877551,0.19127391781508066,4.881342318142977,145.5103121082442,70.39907970791297,0.94,0.8898412082829473,0.9608325253140614,1.5140885925511352e-113,1.5716239590680785e-110,True,13,0.0663265306122449,Behavioural dark spot (selective switch-off),2,2,1.0
26.5_56.0,26.5,56.0,115,97,21.140924781211687,97,81,176.9463186321739,0.034782608695652174,2760.2663687102918,3,Strait of Hormuz,0.8434782608695652,0.18383412853227554,4.588257183820342,75.85907521878832,41.66264578796164,0.8350515463917526,0.7661108636409549,0.8986395267947175,5.705593453746006e-53,5.922406004988354e-51,True,18,0.1565217391304348,Behavioural dark spot (selective switch-off),3,3,1.0
44.0_37.5,44.0,37.5,144,113,24.636755600633602,120,93,162.0232283465278,0.027777777777777776,2214.144217918689,6,Black Sea,0.7847222222222222,0.17108858055995557,4.586642893721521,88.3632443993664,65.03641399446013,0.775,0.7106575528507035,0.8439901241224894,2.1553051918543563e-58,3.1960096987783165e-56,True,31,0.2152777777777778,Behavioural dark spot (selective switch-off),5,4,0.8
35.5_139.5,35.5,139.5,73,73,16.057992296795003,33,33,99.26188982191782,0.0547945205479452,2508.637392479843,1,Open ocean / other,1.0,0.2199724972163699,4.546022855831733,56.94200770320499,29.09946260820018,1.0,0.950006246616416,0.9999999999999999,9.837666912867016e-49,8.509581879629969e-47,True,0,0.0,AIS dead zone (reception / feed gap),1,1,1.0
-7.0_110.0,-7.0,110.0,28,28,6.282451638572464,16,16,119.16988174642857,0.0,3069.650727808555,1,Open ocean / other,1.0,0.22437327280615943,4.456858820541964,21.717548361427536,9.121558927321152,1.0,0.8793527963418923,1.0,6.717248860514397e-19,2.3241681057379813e-17,True,0,0.0,AIS dead zone (reception / feed gap),1,1,1.0
25.0_56.5,25.0,56.5,226,174,39.69965876593718,188,146,169.11638349115043,0.03982300884955752,2795.740188976926,3,Strait of Hormuz,0.7699115044247787,0.17566220692892556,4.3829092090155255,134.3003412340628,80.8372683881983,0.776595744680851,0.7107996097886456,0.8200007327080999,9.540455888584415e-85,2.4757483030876556e-82,True,52,0.23008849557522124,Behavioural dark spot (selective switch-off),3,2,0.6666666666666666
35.0_139.5,35.0,139.5,81,81,19.08120820468263,35,35,103.11464521975309,0.19753086419753085,2524.3016497044573,1,Open ocean / other,1.0,0.2355704716627485,4.245014211423057,61.918791795317375,32.08808266218239,1.0,0.954720325877871,0.9999999999999999,1.3860821499951526e-51,1.3079575197226987e-49,True,0,0.0,AIS dead zone (reception / feed gap),1,1,1.0
19.0_105.5,19.0,105.5,30,30,7.233056444763938,16,16,109.74439394,0.03333333333333333,2918.2515346938403,1,South China Sea,1.0,0.24110188149213127,4.147624206875534,22.76694355523606,10.28012823546664,1.0,0.8864829086095221,1.0,2.9242734761796135e-19,1.0840699529551567e-17,True,0,0.0,AIS dead zone (reception / feed gap),1,1,1.0
27.5_52.0,27.5,52.0,39,37,8.936279862140122,27,26,136.6172266128205,0.2564102564102564,2735.564629421435,4,Persian Gulf,0.9487179487179487,0.22913538108051595,4.140425386267948,28.063720137859878,14.256654578929982,0.9629629629629629,0.8311406095436208,0.9858223423536004,9.418393443871951e-22,3.760112459515033e-20,True,2,0.05128205128205128,Behavioural dark spot (selective switch-off),4,4,1.0
25.0_54.5,25.0,54.5,107,98,23.78709851436376,75,73,145.25535023364486,0.21495327102803738,2795.740188976926,2,Strait of Hormuz,0.9158878504672897,0.22230933190994168,4.119880360390446,74.21290148563624,38.272512024500955,0.9733333333333334,0.8478290663839783,0.9551185633867938,3.846428185000656e-53,4.43621384003409e-51,True,9,0.08411214953271028,Behavioural dark spot (selective switch-off),2,2,1.0
25.0_56.0,25.0,56.0,231,208,50.87926643718601,167,152,128.72809542987014,0.14285714285714285,2795.740188976926,3,Strait of Hormuz,0.9004329004329005,0.22025656466314292,4.088109254813853,157.120733562814,82.62570352953011,0.9101796407185628,0.8550304530556618,0.9327345766494672,2.072379121577417e-108,1.0755647640986794e-105,True,23,0.09956709956709957,Behavioural dark spot (selective switch-off),3,3,1.0
