date,detections,dark,scenes,dark_rate
2026-03-01,5593,2156,192,0.3854818523153942
2026-03-02,8291,3447,214,0.41575202026293573
2026-03-03,7743,2481,217,0.3204184424641612
2026-03-04,7990,2763,191,0.3458072590738423
2026-03-05,7727,3146,213,0.407143781545231
2026-03-06,5310,1943,182,0.36591337099811677
2026-03-07,10425,4167,209,0.39971223021582736
2026-03-08,6126,2371,200,0.3870388507998694
2026-03-09,7754,3838,216,0.49497033789012124
2026-03-10,6727,2634,214,0.39155641444923445
2026-03-11,8079,3224,209,0.3990592895160292
2026-03-12,9359,3378,168,0.3609359974356235
2026-03-13,5954,2015,194,0.3384279475982533
2026-03-14,7762,3385,211,0.4360989435712445
