theatre,detections,dark,crude_dark_rate,standardised_dark_rate,strata_used,standardised_coverage
Americas,233,36,0.15450643776824036,0.4059358662788741,6,1.0
Black Sea,3689,1580,0.42830035239902414,0.5200965359026739,6,1.0
East Asia,7152,3308,0.46252796420581654,0.40293128819605906,6,1.0
Indian Ocean,6652,4083,0.6138003607937462,0.5051890734737443,6,1.0
Mediterranean,2701,704,0.2606442058496853,0.3702600682025472,6,1.0
North Europe,1630,273,0.16748466257668712,0.1992205204633597,6,1.0
Other,71260,25839,0.3626017401066517,0.35549269332436134,6,1.0
Persian Gulf,6050,3616,0.5976859504132231,0.6353025341893626,6,1.0
Red Sea / Horn of Africa,691,251,0.36324167872648333,0.5135328339548854,6,1.0
Red Sea / Mediterranean,756,258,0.3412698412698413,0.4377285405490334,6,1.0
South East Asia,2279,687,0.30144800351031154,0.35272003549963704,6,1.0
West Africa,1747,313,0.17916428162564396,0.17114685329677523,6,1.0
