chokepoint_id,chokepoint,theatre,solas_detections,scenes,commercial,mean_length_m,dark,solas_per_scene,commercial_per_scene,dark_rate
hormuz,Strait of Hormuz,Persian Gulf,1304,11,75,179.4416236142638,1094,118.54545454545455,6.818181818181818,0.838957055214724
singapore_strait,Singapore Strait,South East Asia,331,3,119,191.54088367371602,8,110.33333333333333,39.666666666666664,0.02416918429003021
taiwan_strait,Taiwan Strait,East Asia,577,9,328,168.82768719064126,88,64.11111111111111,36.44444444444444,0.15251299826689774
gibraltar,Strait of Gibraltar,Mediterranean,273,6,142,191.04042506593407,17,45.5,23.666666666666668,0.06227106227106227
bosphorus,Turkish Straits (Bosphorus-Dardanelles),Black Sea,610,14,359,161.35702818688526,13,43.57142857142857,25.642857142857142,0.021311475409836064
persian_gulf,Persian Gulf,Persian Gulf,1376,34,246,191.94289413299418,584,40.470588235294116,7.235294117647059,0.42441860465116277
dover,Dover Strait / English Channel,North Europe,795,21,419,176.83688925911952,35,37.857142857142854,19.952380952380953,0.0440251572327044
malacca,Strait of Malacca,South East Asia,574,16,279,200.7973760522648,61,35.875,17.4375,0.10627177700348432
suez_canal,Suez Canal & Gulf of Suez,Red Sea / Mediterranean,424,12,154,188.6351338066038,12,35.333333333333336,12.833333333333334,0.02830188679245283
sunda,Sunda Strait,South East Asia,199,6,79,148.28841051256282,22,33.166666666666664,13.166666666666666,0.11055276381909548
sri_lanka_corridor,Dondra Head / Sri Lanka corridor,Indian Ocean,303,10,125,208.73913297689768,58,30.3,12.5,0.19141914191419143
panama,Panama Canal approaches,Americas,173,6,100,205.10929530057805,5,28.833333333333332,16.666666666666668,0.028901734104046242
gulf_of_oman,Gulf of Oman,Persian Gulf,314,13,60,200.1652047165605,144,24.153846153846153,4.615384615384615,0.4585987261146497
black_sea,Black Sea,Black Sea,1465,62,458,158.9627950682594,705,23.629032258064516,7.387096774193548,0.4812286689419795
cape_of_good_hope,Cape of Good Hope corridor,Indian Ocean,560,26,405,222.4782167482143,28,21.53846153846154,15.576923076923077,0.05
india_west_coast,India West Coast corridor,Indian Ocean,407,19,151,194.92047829484028,32,21.42105263157895,7.947368421052632,0.07862407862407862
south_china_sea,South China Sea,East Asia,1379,67,723,173.60840366787525,196,20.582089552238806,10.791044776119403,0.14213197969543148
eastern_med,Eastern Mediterranean,Mediterranean,1290,66,699,168.78823688604652,100,19.545454545454547,10.590909090909092,0.07751937984496124
bay_of_bengal,Bay of Bengal,Indian Ocean,636,39,376,176.90183791981133,111,16.307692307692307,9.64102564102564,0.17452830188679244
open_ocean,Open ocean / other,Other,25685,2073,13211,178.80001126178703,2615,12.390255668113845,6.372889532079112,0.10181039517227954
lombok,Lombok Strait,South East Asia,48,4,31,206.36827216666666,5,12.0,7.75,0.10416666666666667
northern_red_sea,Northern & Central Red Sea,Red Sea / Horn of Africa,137,12,58,185.42347291970805,18,11.416666666666666,4.833333333333333,0.13138686131386862
southern_red_sea,Southern Red Sea,Red Sea / Horn of Africa,180,16,71,185.20937863333336,42,11.25,4.4375,0.23333333333333334
gulf_of_guinea,Gulf of Guinea,West Africa,510,48,191,190.78239440980394,29,10.625,3.9791666666666665,0.056862745098039215
mozambique_channel,Mozambique Channel,Indian Ocean,179,23,121,175.4228622178771,5,7.782608695652174,5.260869565217392,0.027932960893854747
gulf_of_aden,Gulf of Aden,Red Sea / Horn of Africa,69,11,27,184.73595988405796,13,6.2727272727272725,2.4545454545454546,0.18840579710144928
bab_el_mandeb,Bab-el-Mandeb,Red Sea / Horn of Africa,56,9,30,189.45658769642858,3,6.222222222222222,3.3333333333333335,0.05357142857142857
arabian_sea,Arabian Sea (open),Indian Ocean,20,4,8,192.5921726,2,5.0,2.0,0.1
somali_basin,Somali Basin / Horn approaches,Indian Ocean,2,2,2,136.018883,0,1.0,1.0,0.0
