Sea,Big hulls,SDR %,Trend pp/day,Violent events <=300 km (war wks 1-2),Signature
Strait of Hormuz,467,74.1,3.5,117,CONCEALMENT
Persian Gulf,2183,60.2,5.8,180,CONCEALMENT
Gulf of Oman,355,47.3,5.6,27,CONCEALMENT
Black Sea,1882,38.1,1.1,0,ATTRITION / FROZEN
Red Sea,583,11.1,-0.1,0,EVACUATION
Bab-el-Mandeb + Gulf of Aden,108,12.0,-0.5,50,EVACUATION
East Med / Suez approaches,1270,8.0,-0.0,1497,DETERRENCE / COMPLIANCE
Turkish Straits,548,2.4,-0.1,0,BASELINE
Strait of Malacca,1294,13.5,-0.3,0,BASELINE
NW Europe & North Sea,6075,8.0,0.1,0,BASELINE
