Chokepoint,Mar-Aug 2025 (per day),Mar-Aug 2026 (per day),Change %
Strait of Hormuz,83.9,5.8,-93.1
Kerch Strait,12.4,9.1,-26.8
Oresund Strait,47.4,41.3,-12.8
Ombai Strait,10.4,9.3,-10.7
Bosporus Strait,91.1,82.0,-9.9
Torres Strait,9.8,9.0,-7.8
Korea Strait,224.2,209.8,-6.4
Bohai Strait,172.8,163.4,-5.4
Malacca Strait,231.9,219.8,-5.2
Dover Strait,175.9,167.1,-5.0
Taiwan Strait,251.4,239.2,-4.9
Gibraltar Strait,136.0,132.6,-2.5
Windward Passage,16.3,16.4,1.1
Mona Passage,11.3,11.7,3.6
Cape of Good Hope,89.4,92.6,3.6
Lombok Strait,35.7,37.0,3.6
Tsugaru Strait,49.2,51.0,3.6
Panama Canal,30.8,32.6,5.9
Sunda Strait,31.2,33.1,6.0
Bab el-Mandeb Strait,32.5,34.6,6.3
Makassar Strait,44.8,48.6,8.5
Suez Canal,37.2,40.8,9.5
Yucatan Channel,47.1,53.4,13.4
Balabac Strait,9.3,10.8,16.4
Luzon Strait,66.6,79.5,19.4
Mindoro Strait,32.9,46.7,41.8
