chokepoint,start,end,weeks,peak,censored,post2023,event
Hormuz (littoral),2021-05-01,2021-05-01,1,6.5,0,0,1
Hormuz (littoral),2021-12-25,2021-12-25,1,5.5,0,0,1
Hormuz (littoral),2022-01-15,2022-01-29,3,7.0,0,0,1
Hormuz (littoral),2022-03-19,2022-03-19,1,7.0,0,0,1
Hormuz (littoral),2022-10-15,2022-11-12,5,6.0,0,0,1
Hormuz (littoral),2023-05-06,2023-05-06,1,6.0,0,0,1
Hormuz (littoral),2023-06-24,2023-07-01,2,8.0,0,0,1
Hormuz (littoral),2024-01-13,2024-01-20,2,9.5,0,1,1
Hormuz (littoral),2024-09-28,2024-10-26,5,10.0,0,1,1
Hormuz (littoral),2025-01-25,2025-01-25,1,5.0,0,1,1
Hormuz (littoral),2025-06-14,2025-07-05,4,17.5,0,1,1
Hormuz (littoral),2025-08-23,2025-08-23,1,6.5,0,1,1
Hormuz (littoral),2025-10-18,2025-11-15,5,7.0,0,1,1
Hormuz (littoral),2026-01-03,2026-01-10,2,17.0,0,1,1
Hormuz (littoral),2026-02-14,2026-05-02,12,187.5,0,1,1
Hormuz (littoral),2026-05-23,2026-06-27,6,35.0,1,1,0
Red Sea / Arabian Sea (at sea),2023-12-02,2024-04-06,19,13.5,0,1,1
Red Sea / Arabian Sea (at sea),2024-05-04,2024-07-13,11,18.0,0,1,1
Red Sea / Arabian Sea (at sea),2024-08-03,2024-08-17,3,13.5,0,1,1
Red Sea / Arabian Sea (at sea),2024-09-28,2024-10-05,2,7.5,0,1,1
Red Sea / Arabian Sea (at sea),2024-10-26,2024-10-26,1,4.5,0,1,1
Red Sea / Arabian Sea (at sea),2024-11-16,2024-11-16,1,6.0,0,1,1
Red Sea / Arabian Sea (at sea),2024-12-07,2025-01-04,5,6.0,0,1,1
Red Sea / Arabian Sea (at sea),2025-03-15,2025-05-03,8,9.0,0,1,1
Red Sea / Arabian Sea (at sea),2025-07-05,2025-07-19,3,7.5,0,1,1
Red Sea / Arabian Sea (at sea),2025-08-30,2025-09-20,4,7.5,0,1,1
Red Sea / Arabian Sea (at sea),2026-02-28,2026-05-02,10,16.5,0,1,1
Red Sea / Arabian Sea (at sea),2026-05-23,2026-06-13,4,10.0,0,1,1
East Med (at sea),2024-06-22,2024-06-22,1,4.5,0,1,1
East Med (at sea),2025-09-20,2025-09-20,1,12.0,0,1,1
Black Sea (at sea),2023-08-19,2023-08-19,1,4.0,0,0,1
Black Sea (at sea),2023-09-09,2023-09-09,1,8.5,0,0,1
