WEEK,Hormuz (littoral),Red Sea / Arabian Sea (at sea),East Med (at sea),Black Sea (at sea),Hormuz (littoral) z,Red Sea / Arabian Sea (at sea) z,East Med (at sea) z,Black Sea (at sea) z
2015-01-03,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-01-10,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-01-17,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-01-24,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-01-31,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-02-07,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-02-14,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-02-21,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-02-28,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-03-07,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-03-14,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-03-21,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-03-28,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-04-04,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-04-11,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-04-18,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-04-25,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-05-02,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-05-09,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-05-16,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-05-23,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-05-30,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-06-06,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-06-13,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-06-20,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-06-27,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-07-04,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-07-11,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-07-18,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-07-25,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-08-01,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-08-08,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-08-15,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-08-22,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-08-29,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-09-05,0.0,1.5,0.0,0.0,-0.66,3.16,-0.07,-0.11
2015-09-12,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-09-19,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-09-26,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-10-03,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-10-10,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-10-17,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-10-24,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-10-31,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-11-07,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-11-14,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-11-21,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-11-28,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-12-05,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-12-12,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-12-19,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2015-12-26,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-01-02,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-01-09,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-01-16,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-01-23,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-01-30,0.0,1.0,0.0,0.0,-0.66,2.02,-0.07,-0.11
2016-02-06,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-02-13,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-02-20,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-02-27,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-03-05,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-03-12,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-03-19,2.0,0.0,0.0,0.0,0.89,-0.27,-0.07,-0.11
2016-03-26,2.0,0.0,0.0,0.0,0.89,-0.27,-0.07,-0.11
2016-04-02,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-04-09,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-04-16,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-04-23,3.0,0.0,0.0,0.0,1.67,-0.27,-0.07,-0.11
2016-04-30,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-05-07,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-05-14,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-05-21,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-05-28,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-06-04,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-06-11,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-06-18,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-06-25,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-07-02,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-07-09,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-07-16,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-07-23,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-07-30,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-08-06,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-08-13,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-08-20,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-08-27,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-09-03,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-09-10,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-09-17,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-09-24,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-10-01,0.0,1.5,0.0,0.0,-0.66,3.16,-0.07,-0.11
2016-10-08,0.0,3.0,0.0,0.0,-0.66,6.59,-0.07,-0.11
2016-10-15,0.0,1.5,0.0,0.0,-0.66,3.16,-0.07,-0.11
2016-10-22,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-10-29,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-11-05,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-11-12,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-11-19,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-11-26,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-12-03,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2016-12-10,2.5,0.0,0.0,0.0,1.28,-0.27,-0.07,-0.11
2016-12-17,1.5,0.0,0.0,0.0,0.51,-0.27,-0.07,-0.11
2016-12-24,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2016-12-31,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-01-07,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-01-14,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-01-21,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-01-28,0.0,1.5,0.0,0.0,-0.66,3.16,-0.07,-0.11
2017-02-04,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-02-11,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-02-18,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-02-25,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-03-04,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-03-11,1.0,1.5,0.0,0.0,0.12,3.16,-0.07,-0.11
2017-03-18,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-03-25,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-04-01,2.0,0.0,0.0,0.0,0.89,-0.27,-0.07,-0.11
2017-04-08,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-04-15,1.0,1.0,0.0,0.0,0.12,2.02,-0.07,-0.11
2017-04-22,2.0,0.0,0.0,0.0,0.89,-0.27,-0.07,-0.11
2017-04-29,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-05-06,2.0,0.0,0.0,0.0,0.89,-0.27,-0.07,-0.11
2017-05-13,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-05-20,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-05-27,0.0,1.0,0.0,0.0,-0.66,2.02,-0.07,-0.11
2017-06-03,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-06-10,2.0,0.0,0.0,0.0,0.89,-0.27,-0.07,-0.11
2017-06-17,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-06-24,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-07-01,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-07-08,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-07-15,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-07-22,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-07-29,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-08-05,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-08-12,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-08-19,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-08-26,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-09-02,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-09-09,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-09-16,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-09-23,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-09-30,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-10-07,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-10-14,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-10-21,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2017-10-28,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-11-04,0.0,1.0,0.0,0.0,-0.66,2.02,-0.07,-0.11
2017-11-11,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-11-18,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-11-25,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-12-02,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-12-09,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-12-16,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-12-23,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2017-12-30,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2018-01-06,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2018-01-13,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2018-01-20,1.0,1.0,0.0,0.0,0.12,2.02,-0.07,-0.11
2018-01-27,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2018-02-03,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
2018-02-10,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2018-02-17,1.0,0.0,0.0,0.0,0.12,-0.27,-0.07,-0.11
2018-02-24,0.0,0.0,0.0,0.0,-0.66,-0.27,-0.07,-0.11
