#,Cluster (nearest reference),region,Dark large vessels,Dark share of large ships within 30 km,Median length (m),Days observed,lat,lon
1,Dubai / Jebel Ali,Persian Gulf,660,0.97,183.59,6,25.47,54.81
2,Fujairah / Khor Fakkan anchorage,Gulf of Oman,462,0.85,170.98,3,25.25,56.62
3,Novorossiysk / Kerch (Russia),Black Sea,226,0.75,174.35,5,44.37,37.66
4,Strait of Hormuz (Bandar Abbas-Qeshm),Strait of Hormuz,207,0.8,178.82,3,27.0,56.33
5,Ras Laffan / Doha (Qatar),Persian Gulf,126,0.64,173.92,5,25.72,51.86
6,Novorossiysk / Kerch (Russia),Black Sea,122,0.83,148.79,4,44.97,36.62
7,Novorossiysk / Kerch (Russia),Black Sea,88,0.78,123.22,4,45.51,36.69
8,35.5N 139.9E,East Asia Seas,84,1.0,126.65,1,35.45,139.86
9,Malta,Mediterranean,69,0.62,167.43,3,35.99,14.7
10,Novorossiysk / Kerch (Russia),Black Sea,58,0.64,129.46,5,46.93,38.38
11,Singapore Strait / EOPL Johor,South China Sea,43,0.26,254.54,1,1.96,104.73
12,Novorossiysk / Kerch (Russia),Black Sea,39,0.91,163.63,4,43.95,38.81
13,Kolkata / Haldia,Bay of Bengal,34,0.44,195.64,2,21.02,87.9
14,54.5N 18.8E,NW Europe & North Sea,30,0.54,148.98,3,54.5,18.78
15,Ras Laffan / Doha (Qatar),Persian Gulf,30,0.97,174.65,4,27.53,52.4
