"Name of Satellite, Alternate Names",Country of Operator/Owner,Users,Purpose,Class of Orbit,p_mil
"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM10 (0210, Galileo 13, PRN E01)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM15 (0215, Galileo 19)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM16 (0216, Galileo 20)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM17 (0217, Galileo 21)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM19 (0219, Galileo 23)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM18 (0218, Galileo 22)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM22 (0222, Galileo 26)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM20 (0220, Galileo 24)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM21 (0221, Galileo 25)",ESA,Commercial,Navigation/Global Positioning,MEO,0.86
"Galileo FOC FM9 (0209, Galileo 12, E09)",ESA,Commercial,Navigation/Global Positioning,MEO,0.85
"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",ESA,Commercial,Navigation/Global Positioning,MEO,0.85
"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",ESA,Commercial,Navigation/Global Positioning,MEO,0.85
