year,USA,China,Russia,Europe,India,Japan,New Zealand,Others
1957,0,0,2,0,0,0,0,0
1958,7,0,1,0,0,0,0,0
1959,10,0,1,0,0,0,0,0
1960,15,0,3,0,0,0,0,0
1961,29,0,6,0,0,0,0,0
1962,48,0,20,0,0,0,0,0
1963,38,0,17,0,0,0,0,0
1964,53,0,30,0,0,0,0,0
1965,60,0,48,0,0,0,0,1
1966,69,0,44,0,0,0,0,1
1967,49,0,66,0,0,0,0,4
1968,44,0,74,0,0,0,0,0
1969,38,0,70,0,0,0,0,0
1970,28,1,81,2,0,1,0,1
1971,30,1,83,1,0,2,0,3
1972,30,0,74,0,0,1,0,1
1973,22,0,86,0,0,0,0,0
1974,22,0,81,0,0,1,0,2
1975,25,3,89,3,0,2,0,1
1976,25,2,99,0,0,1,0,0
1977,22,0,98,0,0,2,0,0
1978,31,1,88,0,0,3,0,0
1979,16,0,87,1,0,2,0,0
1980,13,0,89,0,1,2,0,0
1981,18,1,98,2,1,3,0,0
1982,18,1,101,0,0,1,0,0
1983,22,1,98,2,1,3,0,0
1984,22,3,97,4,0,3,0,0
1985,17,1,98,3,0,2,0,0
1986,6,2,91,2,0,2,0,0
1987,8,2,95,2,0,3,0,0
1988,11,4,90,7,0,2,0,2
1989,18,0,74,7,0,2,0,0
1990,27,5,75,5,0,3,0,1
1991,18,1,59,8,0,2,0,0
1992,28,4,54,7,1,1,0,0
1993,23,1,47,7,0,1,0,0
1994,26,5,48,6,2,2,0,0
1995,25,2,32,11,0,1,0,2
1996,33,3,25,10,1,1,0,0
1997,30,6,28,12,1,2,0,5
1998,28,6,23,11,0,2,0,7
1999,27,4,26,10,1,0,0,5
2000,27,5,35,12,0,0,0,3
2001,21,1,23,8,2,1,0,2
2002,16,4,24,11,1,3,0,3
2003,19,6,20,4,2,2,0,6
2004,16,8,22,2,1,0,0,3
2005,10,5,22,5,1,2,0,5
2006,15,6,23,5,0,6,0,7
2007,17,10,25,6,3,1,0,2
2008,14,11,27,6,3,1,0,5
2009,22,6,32,6,2,3,0,2
2010,15,14,30,6,1,2,0,1
2011,14,18,30,7,3,3,0,2
2012,13,19,24,10,2,2,0,5
2013,17,14,31,6,3,3,0,2
2014,22,16,31,11,4,3,0,2
2015,18,19,25,11,5,4,0,1
2016,20,21,16,11,7,4,0,3
2017,29,17,18,11,5,6,0,0
2018,28,37,16,10,7,6,3,0
2019,20,32,21,8,6,2,6,1
2020,32,33,15,6,2,3,6,3
2021,38,52,24,6,1,3,5,3
2022,72,61,21,5,4,0,9,5
2023,102,65,18,2,7,2,6,6
2024,137,65,17,3,5,5,13,4
2025,172,89,17,7,4,3,17,2
2026,114,63,13,6,2,2,14,2
