year,Payload,Rocket body,Debris,Unknown,total
1957,2,0,0,0,2
1958,5,1,2,0,8
1959,10,4,7,0,21
1960,20,11,21,0,52
1961,35,14,361,0,410
1962,56,31,382,0,469
1963,84,42,596,0,722
1964,130,63,700,0,893
1965,209,102,1748,0,2059
1966,251,134,1946,0,2331
1967,312,167,1974,0,2453
1968,351,198,2292,0,2841
1969,387,221,2532,0,3140
1970,432,254,3078,0,3764
1971,508,301,3254,0,4063
1972,571,345,3437,0,4353
1973,632,383,3660,0,4675
1974,690,427,3904,0,5021
1975,770,491,4463,0,5724
1976,861,551,4909,0,6321
1977,933,607,5201,0,6741
1978,1007,654,5330,0,6991
1979,1037,678,5514,0,7229
1980,1074,699,5526,0,7299
1981,1148,741,5955,0,7844
1982,1221,783,8028,0,10032
1983,1304,848,8263,0,10415
1984,1403,921,8275,0,10599
1985,1500,1005,8435,0,10940
1986,1583,1043,9144,0,11770
1987,1665,1098,9542,1,12306
1988,1731,1140,9297,0,12168
1989,1783,1175,9095,0,12053
1990,1884,1235,9070,0,12189
1991,1961,1268,9219,0,12448
1992,2021,1328,9493,0,12842
1993,2084,1379,11327,0,14790
1994,2172,1441,12298,0,15911
1995,2234,1483,12557,0,16274
1996,2301,1520,12455,0,16276
1997,2422,1566,12890,0,16878
1998,2966,1580,12839,1,17386
1999,3063,1593,16590,1,21247
2000,3145,1602,16825,1,21573
2001,3178,1588,16971,1,21738
2002,3228,1586,16808,1,21623
2003,3288,1609,16655,1,21553
2004,3340,1627,16599,1,21567
2005,3387,1640,16515,1,21543
2006,3455,1670,17302,1,22428
2007,3533,1703,17341,1,22578
2008,3614,1738,16895,1,22248
2009,3710,1772,16840,1,22323
2010,3790,1813,16741,1,22345
2011,3874,1836,16787,2,22499
2012,3966,1863,16669,2,22500
2013,4126,1889,16453,2,22470
2014,4227,1916,16178,2,22323
2015,4322,1956,15896,3,22177
2016,4427,1988,15839,4,22258
2017,4762,2024,15788,4,22578
2018,5050,2086,16111,27,23274
2019,5415,2115,16158,34,23722
2020,6528,2134,16021,35,24718
2021,8123,2164,15816,69,26172
2022,10146,2208,14765,84,27203
2023,12338,2231,13593,93,28255
2024,14042,2240,13341,71,29694
2025,17414,2275,12701,53,32443
2026,19971,2300,12540,57,34868
