Shell (km),Objects 2014,Objects 2026,Active 2026,Debris 2026,Density 2026 (per 10^9 km^3)
200-225,580,9,6,0,0.7
225-250,465,14,10,1,1.0
250-275,398,57,54,1,4.1
275-300,416,35,23,6,2.5
300-325,331,93,82,2,6.6
325-350,302,202,187,4,14.3
350-375,321,775,753,6,54.4
375-400,290,127,99,10,8.9
400-425,306,305,272,14,21.1
425-450,266,326,275,24,22.4
450-475,210,6052,5979,28,412.5
475-500,215,3912,3843,33,264.7
500-525,184,606,523,52,40.7
525-550,218,570,457,67,38.0
550-575,217,704,556,92,46.6
575-600,262,688,504,131,45.2
600-625,301,427,170,159,27.9
625-650,304,715,443,223,46.3
650-675,331,361,54,263,23.2
675-700,433,516,83,377,33.0
700-725,471,502,23,424,31.8
725-750,547,576,23,494,36.3
750-775,724,763,29,583,47.7
775-800,717,905,125,656,56.2
800-825,639,807,54,692,49.8
825-850,622,785,30,670,48.1
850-875,563,732,18,645,44.5
875-900,491,591,44,510,35.7
900-925,359,468,47,371,28.1
925-950,352,437,55,320,26.0
950-975,389,449,51,285,26.6
975-1000,541,558,15,282,32.8
1000-1025,216,228,2,201,13.3
1025-1050,195,222,20,181,12.9
1050-1075,170,365,201,143,21.0
1075-1100,164,216,42,133,12.4
1100-1125,140,175,30,125,9.9
1125-1150,123,251,128,114,14.2
1150-1175,86,160,65,85,9.0
1175-1200,101,420,318,73,23.4
1200-1225,63,406,336,64,22.5
1225-1250,60,67,2,59,3.7
1250-1275,161,166,0,165,9.1
1275-1300,118,133,0,129,7.2
1300-1325,46,57,1,49,3.1
1325-1350,62,83,3,61,4.4
1350-1375,62,64,0,58,3.4
1375-1400,85,86,0,51,4.5
1400-1425,227,228,26,59,12.0
1425-1450,209,208,3,67,10.9
1450-1475,203,202,0,68,10.5
1475-1500,236,271,59,109,14.0
1500-1525,138,138,3,86,7.1
1525-1550,91,90,1,74,4.6
1550-1575,90,90,0,73,4.6
1575-1600,104,104,1,66,5.2
1600-1625,54,54,0,47,2.7
1625-1650,33,33,0,29,1.6
1650-1675,26,26,0,21,1.3
1675-1700,30,30,0,23,1.5
1700-1725,8,8,1,4,0.4
1725-1750,4,4,0,1,0.2
1750-1775,3,3,0,2,0.1
1775-1800,1,1,0,0,0.0
1800-1825,2,2,0,2,0.1
1825-1850,3,3,1,1,0.1
1850-1875,2,2,0,0,0.1
1875-1900,1,1,0,0,0.0
1900-1925,1,1,0,0,0.0
1950-1975,2,2,0,0,0.1
