year,reentry_rate_pct
1965,2.22
1966,4.26
1967,4.82
1968,4.27
1969,5.2
1970,4.04
1971,2.31
1972,3.59
1973,1.94
1974,2.44
1975,2.39
1976,2.57
1977,4.58
1978,5.19
1979,6.23
1980,4.55
1981,5.72
1982,3.95
1983,2.42
1984,2.88
1985,1.51
1986,3.12
1987,2.49
1988,6.18
1989,7.59
1990,3.09
1991,4.05
1992,1.9
1993,1.07
1994,0.6
1995,0.61
1996,1.33
1997,2.46
1998,2.17
1999,2.48
2000,1.8
2001,1.77
2002,2.4
2003,1.26
2004,0.81
2005,0.83
2006,0.92
2007,0.75
2008,3.82
2009,1.4
2010,1.79
2011,2.4
2012,2.22
2013,2.15
2014,3.21
2015,2.11
2016,0.93
2017,0.67
2018,0.66
2019,0.61
2020,1.38
2021,1.61
2022,11.82
2023,8.24
2024,7.09
2025,5.12
