month,detections,baseline,z
Oct 2010,11508,,
Nov 2010,7752,,
Dec 2010,4289,,
Jan 2011,4178,,
Feb 2011,8272,,
Mar 2011,13350,,
Apr 2011,17794,,
May 2011,9685,,
Jun 2011,16156,,
Jul 2011,6969,,
Aug 2011,10341,,
Sep 2011,11327,,
Oct 2011,12839,11508.0,
Nov 2011,8651,7752.0,
Dec 2011,4305,4289.0,
Jan 2012,7327,4178.0,
Feb 2012,5174,8272.0,
Mar 2012,13774,13350.0,
Apr 2012,8254,17794.0,
May 2012,8840,9685.0,
Jun 2012,12595,16156.0,
Jul 2012,10824,6969.0,
Aug 2012,27970,10341.0,
Sep 2012,19344,11327.0,
Oct 2012,11484,12174.0,-0.73
Nov 2012,8661,8202.0,0.72
Dec 2012,3048,4297.0,-110.4
Jan 2013,4652,5752.0,-0.49
Feb 2013,5393,6723.0,-0.61
Mar 2013,12976,13562.0,-1.95
Apr 2013,7996,13024.0,-0.75
May 2013,5317,9262.0,-6.6
Jun 2013,12237,14376.0,-0.85
Jul 2013,9554,8896.0,0.24
Aug 2013,18367,19156.0,-0.06
Sep 2013,8243,15336.0,-1.25
Oct 2013,9089,11508.0,-3.12
Nov 2013,5512,8651.0,-6.01
Dec 2013,3012,4289.0,-1.77
Jan 2014,4455,4652.0,-0.12
Feb 2014,5047,5393.0,-0.2
Mar 2014,13319,13350.0,-0.08
Apr 2014,13605,8254.0,0.96
May 2014,7433,8840.0,-0.61
Jun 2014,4399,12595.0,-3.78
Jul 2014,9508,9554.0,-0.02
Aug 2014,10476,18367.0,-0.89
Sep 2014,8876,11327.0,-0.43
Oct 2014,11092,11496.0,-0.26
Nov 2014,6665,8202.0,-1.04
Dec 2014,3996,3668.0,0.45
Jan 2015,5341,4554.0,0.54
Feb 2015,6892,5284.0,1.04
Mar 2015,12062,13334.0,-3.89
Apr 2015,9616,10930.0,-0.28
May 2015,4468,8136.0,-1.92
Jun 2015,23666,12416.0,2.27
Jul 2015,19897,9531.0,6.41
Aug 2015,34866,14422.0,2.45
Sep 2015,8972,10102.0,-0.22
Oct 2015,11794,11484.0,0.23
Nov 2015,5594,7752.0,-1.59
Dec 2015,3816,3996.0,-0.28
Jan 2016,3243,4652.0,-1.11
Feb 2016,9779,5393.0,3.14
Mar 2016,14410,13319.0,1.69
Apr 2016,15251,9616.0,1.34
May 2016,5521,7433.0,-0.86
Jun 2016,7576,12595.0,-0.72
Jul 2016,11670,9554.0,0.43
Aug 2016,13330,18367.0,-0.46
Sep 2016,10470,8972.0,0.32
Oct 2016,10040,11496.0,-1.18
Nov 2016,8358,7208.0,0.8
Dec 2016,3088,3906.0,-1.4
Jan 2017,5693,4554.0,0.82
Feb 2017,10729,6142.0,2.37
Mar 2017,14907,13334.0,2.0
Apr 2017,11966,11610.0,0.09
May 2017,5927,6477.0,-0.26
Jun 2017,7517,12416.0,-0.73
Jul 2017,16449,10189.0,1.41
Aug 2017,21455,15848.0,0.55
Sep 2017,28046,9721.0,4.42
Oct 2017,15037,11484.0,2.9
Nov 2017,8703,7752.0,0.69
Dec 2017,6273,3816.0,4.18
Jan 2018,5935,4652.0,0.98
Feb 2018,4392,6892.0,-1.08
Mar 2018,16137,13350.0,2.97
Apr 2018,14161,11966.0,0.59
May 2018,7285,5927.0,0.7
Jun 2018,9346,12237.0,-0.45
Jul 2018,17778,10824.0,1.55
Aug 2018,29097,18367.0,1.16
Sep 2018,12184,10470.0,0.23
Oct 2018,7595,11496.0,-2.18
Nov 2018,5199,8055.0,-2.08
Dec 2018,1877,3906.0,-1.89
Jan 2019,2921,4996.0,-1.66
Feb 2019,2522,6142.0,-1.52
Mar 2019,12178,13562.0,-1.1
Apr 2019,10897,12786.0,-0.54
May 2019,5198,6606.0,-0.77
Jun 2019,9284,10792.0,-0.25
Jul 2019,27255,11247.0,3.47
Aug 2019,8305,19911.0,-1.26
Sep 2019,9180,10898.0,-0.25
Oct 2019,8747,11484.0,-1.28
Nov 2019,6780,7752.0,-0.65
Dec 2019,3946,3816.0,0.11
Jan 2020,3996,4652.0,-0.48
Feb 2020,5514,5393.0,0.05
Mar 2020,10220,13350.0,-2.39
Apr 2020,10044,11966.0,-0.58
May 2020,5452,5927.0,-0.27
Jun 2020,7940,9346.0,-0.25
Jul 2020,6016,11670.0,-0.88
Aug 2020,14575,18367.0,-0.4
Sep 2020,45742,10470.0,5.36
